Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering,AERL,4,3,,2,9,,,,,,,9
AERO,,,1,5,10,16,,,1,1,,,17
BIOT,,,,,,,3,3,,,,,3
BMEL,,1,8,1,,10,,,,,,,10
BMEN,,,1,7,14,22,4,4,8,8,,,34
CECL,,6,8,7,,21,,,,,,,21
CECN,,,,4,8,12,2,2,1,1,,,15
CEEL,,4,1,3,,8,,,,,,,8
CEEN,,,1,3,8,12,4,4,,,,,16
CHEL,,9,4,5,1,19,,,,,,,19
CHEN,,,3,10,38,51,3,3,1,1,,,55
CPSC,,,2,8,16,26,7,7,3,3,,,36
CPSL,,11,14,1,1,27,,,,,,,27
CVEL,,7,4,2,,13,,,,,,,13
CVEN,,,3,5,13,21,5,5,4,4,,,30
ELEL,,12,13,2,1,28,,,,,,,28
ELEN,,,4,21,41,66,6,6,6,6,,,78
ENGE,,12,6,2,,20,,,,,,,20
ENGR,,,,,,,,,3,3,,,3
ENSM,,,,,,,1,1,,,,,1
ENTC,,,,5,10,15,,,,,,,15
ENTL,,,2,6,4,12,,,,,,,12
ESET,,1,2,,1,4,,,,,,,4
HLPH,,,,,,,,,,,,,
IDIL,,,1,2,,3,,,,,,,3
IDIS,,,,4,6,10,1,1,,,,,11
INEL,,2,5,2,2,11,,,,,,,11
INEN,,2,2,4,17,25,2,2,2,2,,,29
ITDE,,,,,,,,,1,1,,,1
MEEL,,3,2,,,5,,,,,,,5
MEEN,,,5,14,28,47,5,5,8,8,,,60
MSEN,,,,,,,2,2,1,1,,,3
NUEL,,2,5,,1,8,,,,,,,8
NUEN,,,1,3,4,8,,,4,4,,,12
OCEL,,1,,,,1,,,,,,,1
OCEN,,,,1,4,5,1,1,2,2,,,8
PETE,,,4,8,20,32,17,17,3,3,,,52
PETL,,8,7,1,,16,,,,,,,16
RHEL,,,2,1,,3,,,,,,,3
RHEN,,,1,,3,4,,,,,,,4
SENG,,,,,,,1,1,,,,,1
USEN,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,,85,115,137,253,590,64,64,48,48,,,702
G. Bush School of,CAIA,,,,,,2,2,,,,,2
Govt,CHLS,,,,,,1,1,,,,,1
CNPM,,,,,,,1,1,,,,,1
INTA,,,,,,,6,6,,,,,6
PSAA,,,,,,,1,1,,,,,1
Subtotal,,,,,,,11,11,,,,,11
