Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,9,12,18,24,63,7,7,2,2,,,72
ALEC,,5,21,62,66,154,8,8,6,6,,,168
ANSC,,40,38,51,63,192,4,4,7,7,,,203
BAEN,,5,8,8,28,49,5,5,2,2,,,56
BCBP,,20,16,17,20,73,,,11,11,,,84
CLAG,,9,5,1,1,16,,,,,,,16
ENTO,,9,8,13,17,47,4,4,4,4,,,55
ESSM,,2,12,8,11,33,4,4,7,7,,,44
HRSC,,2,7,5,14,28,3,3,2,2,,,33
NFSC,,8,25,47,58,138,5,5,1,1,,,144
PLPM,,7,16,28,37,88,,,2,2,,,90
POSC,,1,4,11,9,25,4,4,1,1,,,30
RPTS,,5,11,14,19,49,,,,,,,49
SCSC,,3,4,9,10,26,5,5,3,3,,,34
WFSC,,2,11,19,39,71,13,13,16,16,,,100
Subtotal,,127,198,311,416,"1,052",62,62,64,64,,,"1,178"
Architecture,ARCH,23,18,26,38,105,12,12,2,2,,,119
CLAR,,15,20,17,9,61,,,,,,,61
COSC,,11,32,38,46,127,3,3,,,,,130
LAUP,,8,16,14,21,59,8,8,5,5,,,72
VIZA,,5,9,9,19,42,5,5,,,,,47
Subtotal,,62,95,104,133,394,28,28,7,7,,,429
Business,ACCT,,1,31,71,103,10,10,,,,,113
Admin,CLBA,95,148,67,24,334,22,22,,,,,356
FINC,,,1,19,46,66,6,6,1,1,,,73
INFO,,,,24,49,73,4,4,,,,,77
MGMT,,,,24,26,50,8,8,1,1,,,59
MKTG,,,1,19,30,50,3,3,,,,,53
Subtotal,,95,151,184,246,676,53,53,2,2,,,731
