Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,12,12,2,2,,,14
COMG,,,,,,,3,3,,,,,3
COSC,,,,12,44,56,,,,,,,56
COSL,,11,32,26,2,71,,,,,,,71
ENDL,,23,18,18,4,63,,,,,,,63
ENDS,,,,8,34,42,,,,,,,42
LAND,,,,4,9,13,1,1,,,,,14
LANL,,8,8,4,,20,,,,,,,20
LPDV,,,,,,,3,3,,,,,3
URPL,,,,,,,4,4,,,,,4
URPN,,,8,6,12,26,,,,,,,26
URSC,,,,,,,,,5,5,,,5
USAR,,15,20,17,9,61,,,,,,,61
VISL,,4,9,6,3,22,,,,,,,22
VIST,,1,,3,16,20,5,5,,,,,25
Subtotal,,62,95,104,133,394,28,28,7,7,,,429
Business Admin,ACCT,,1,31,71,103,10,10,,,,,113
AGBU,,,,1,1,2,,,,,,,2
BHNR,,,2,3,10,15,,,,,,,15
BUAD,,92,138,49,,279,2,2,,,,,281
BUAG,,2,1,1,,4,,,,,,,4
EMBA,,,,,,,13,13,,,,,13
FINC,,,1,19,46,66,5,5,1,1,,,72
INFO,,,,,,,,,,,,,
MGMT,,,,24,26,50,8,8,1,1,,,59
MISY,,,,11,23,34,4,4,,,,,38
MKTG,,,1,19,30,50,3,3,,,,,53
MLER,,,,,,,1,1,,,,,1
PMBA,,,,,,,7,7,,,,,7
SCMT,,,,13,26,39,,,,,,,39
USBU,,1,7,13,13,34,,,,,,,34
Subtotal,,95,151,184,246,676,53,53,2,2,,,731
Education,ATTR,,,,,,1,1,,,,,1
BIED,,,,,,,13,13,,,,,13
CPSY,,,,,,,,,13,13,,,13
EDAD,,,,,,,14,14,37,37,,,51
EDCI,,,,,,,39,39,20,20,,,59
EDHL,,32,50,56,32,170,,,,,,,170
EDIS,,30,42,28,6,106,,,,,,,106
EDKI,,38,39,43,31,151,,,,,,,151
EDSM,,16,8,14,3,41,,,,,,,41
EDTC,,,,,,,,,,,,,
EHRD,,,,,,,10,10,8,8,,,18
EPSY,,,,,,,6,6,17,17,,,23
GENE,,,,,,,,,,,,,
HEED,,,,,,,8,8,5,5,,,13
HLTH,,,,3,54,57,,,,,,,57
HRDL,,10,4,16,5,35,,,,,,,35
HRDV,,,,3,26,29,,,,,,,29
INST,,,2,15,101,118,,,,,,,118
KINE,,,,2,41,43,2,2,5,5,,,50
NUTR,,,,,,,,,,,,,
SPED,,,,,,,6,6,,,,,6
SPMT,,,,5,29,34,10,10,,,,,44
SPSY,,,,,,,,,8,8,,,8
TCMG,,,,,19,19,,,,,,,19
TCML,,13,7,15,10,45,,,,,,,45
TECR,,1,,,,1,,,,,,,1
USEH,,2,6,5,7,20,,,,,,,20
Subtotal,,142,158,205,364,869,109,109,113,113,,,"1,091"
