Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Veterinary,BIMS,187,239,176,322,924,53,53,27,27,,,"1,004",
Medicine,BIOT,,,,,,,,,,,,,
GENE,,,,,,,,,6,6,,,6,
LAMD,,,,,,,3,3,,,,,3,
STJR,,,,,,,6,6,,,,,6,
TOXI,,,,,,,,,6,6,,,6,
USVM,,,1,1,2,4,,,,,,,4,
VHPE,,,,,,,5,5,,,,,5,
VPAT,,,,,,,,,10,10,,,10,
VTMD,,,,,,,,,,,448,448,448,
VTMI,,,,,,,,,6,6,,,6,
VTPB,,,,,,,,,2,2,,,2,
Subtotal,,187,240,177,324,928,67,67,57,57,448,448,"1,500",
General Studies,GEST,269,284,32,1,586,,,,,,,586,
TEAM,,615,367,24,,"1,006",,,,,,,"1,006",
TMEN,,53,11,,,64,,,,,,,64,
Subtotal,,937,662,56,1,"1,656",,,,,,,"1,656",
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,1,1,,,,,1,
MARS,,,,,2,2,,,,,,,2,
MDSC,,,,,,,2,2,,,,,2,
PHLT,,,,,,,13,13,,,,,13,
REEP,,,,,,,,,,,,,,
USGA,,,,,1,1,,,,,,,1,
Subtotal,,,,,3,3,16,16,,,,,19,
University,Total,"3,848","5,878","6,581","10,176","26,483","2,370","2,370","1,513","1,513",448,448,"30,814",
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
