Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,50,50,40,40,,,90
COMG,,,,,,,53,53,,,,,53
COSC,,,,,1,1,,,,,,,1
COSL,,,,,,,,,,,,,
ENDL,,,,,2,2,,,,,,,2
ENDS,,,,,3,3,,,,,,,3
LAND,,,,,,,36,36,,,,,36
LANL,,,,,,,,,,,,,
LPDV,,,,,,,6,6,,,,,6
URPL,,,,,,,16,16,,,,,16
URPN,,,,1,1,2,,,,,,,2
URSC,,,,,,,,,34,34,,,34
USAR,,,,,,,,,,,,,
VISL,,,1,,,1,,,,,,,1
VIST,,,,,,,16,16,,,,,16
Subtotal,,,1,1,7,9,177,177,74,74,,,260
Business Admin,ACCT,,,6,6,12,11,11,,,,,23
AGBU,,,,,,,,,,,,,
BHNR,,,,,,,,,,,,,
BUAD,,7,9,,1,17,17,17,,,,,34
BUAG,,,,,,,,,,,,,
EMBA,,,,,,,,,,,,,
FINC,,,,7,7,14,3,3,10,10,,,27
INFO,,,,,,,,,6,6,,,6
MGMT,,,,1,1,2,,,4,4,,,6
MISY,,,,1,3,4,81,81,,,,,85
MKTG,,,,,,,6,6,8,8,,,14
MLER,,,,,,,1,1,,,,,1
PMBA,,,,,,,,,,,,,
SCMT,,,,,1,1,,,,,,,1
USBU,,,,1,1,2,,,,,,,2
Subtotal,,7,9,16,20,52,119,119,28,28,,,199
Education,ATTR,,,,,,,,,,,,
BIED,,,,,,,1,1,,,,,1
CPSY,,,,,,,,,1,1,,,1
EDAD,,,,,,,1,1,2,2,,,3
EDCI,,,,,,,36,36,26,26,,,62
EDHL,,,,,,,,,,,,,
EDIS,,,,,,,,,,,,,
EDKI,,,2,1,1,4,,,,,,,4
EDSM,,1,1,1,,3,,,,,,,3
EDTC,,,,,,,,,,,,,
EHRD,,,,,,,12,12,20,20,,,32
EPSY,,,,,,,11,11,33,33,,,44
GENE,,,,,,,,,,,,,
HEED,,,,,,,4,4,11,11,,,15
HLTH,,,,,1,1,,,,,,,1
HRDL,,,,1,1,2,,,,,,,2
HRDV,,,,,,,,,,,,,
INST,,1,,1,1,3,,,,,,,3
KINE,,,,,,,9,9,17,17,,,26
NUTR,,,,,,,,,,,,,
SPED,,,,,,,,,,,,,
SPMT,,,,,2,2,3,3,,,,,5
SPSY,,,,,,,,,2,2,,,2
TCMG,,,,,,,,,,,,,
TCML,,,,,,,,,,,,,
TECR,,,,,,,,,,,,,
USEH,,,1,1,,2,,,,,,,2
Subtotal,,2,4,5,6,17,77,77,112,112,,,206
