Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,1,1,,,1
ADEV,,,,,,20,20,,,,,20
AGBL,20,60,36,2,118,,,,,,,118
AGBU,2,,55,96,153,10,10,,,,,163
AGCJ,15,46,69,112,242,,,,,,,242
AGEC,9,36,79,98,222,25,25,11,11,,,258
AGED,,,,,,,,7,7,,,7
AGLS,4,17,21,13,55,,,,,,,55
AGRO,,1,11,25,37,14,14,4,4,,,55
AGSC,16,32,40,36,124,,,,,,,124
AGSM,6,20,33,53,112,3,3,,,,,115
ALEC,,,,,,41,41,35,35,,,76
ALED,11,60,138,207,416,,,,,,,416
ANBR,,,,,,6,6,1,1,,,7
ANSC,92,160,180,264,696,41,41,12,12,,,749
BAEN,17,35,29,56,137,15,15,2,2,,,154
BESC,5,28,46,66,145,,,,,,,145
BICH,18,25,18,34,95,2,2,34,34,,,131
CDEV,,2,3,5,10,,,,,,,10
ECOR,1,5,10,6,22,,,,,,,22
ENST,4,9,10,21,44,,,,,,,44
ENTO,2,5,14,19,40,11,11,19,19,,,70
ESSM,,,,,,9,9,14,14,,,23
FIVL,10,15,4,1,30,,,,,,,30
FIVS,,,8,21,29,,,,,,,29
FORS,2,3,11,9,25,,,2,2,,,27
FSTC,5,5,17,37,64,9,9,4,4,,,77
GENE,7,12,14,34,67,1,1,21,21,,,89
HORT,5,18,30,43,96,8,8,6,6,,,110
MEPS,,,,,,,,5,5,,,5
NRDV,,,,,,19,19,,,,,19
NUSC,33,56,88,135,312,,,,,,,312
NUTR,,,,,,10,10,4,4,,,14
PLBR,,,,,,12,12,16,16,,,28
PLPA,,,,,,4,4,8,8,,,12
POSC,6,19,30,38,93,8,8,5,5,,,106
PREP,,,,,,7,7,2,2,,,9
PSSC,7,18,15,3,43,,,,,,,43
RENR,9,9,23,18,59,,,,,,,59
RLEM,2,16,14,12,44,,,,,,,44
RPTS,10,60,99,147,316,14,14,15,15,,,345
RRDV,,,,,,1,1,,,,,1
SOSC,,,,,,6,6,9,9,,,15
SPSA,,5,4,9,18,,,,,,,18
TGSC,3,4,8,2,17,,,,,,,17
TOXI,,,,,,,,1,1,,,1
USAL,7,35,71,66,179,,,,,,,179
WFSC,9,40,71,113,233,24,24,35,35,,,292
WISC,,,,,,12,12,,,,,12
WMHS,,,,,,8,8,4,4,,,12
Subtotal,337,856,"1,299","1,801","4,293",340,340,277,277,,,"4,910"
