Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,,,,,,,,1,1,,,1
ALEC,,,,1,2,3,1,1,,,,,4
ANSC,,,,,,,,,,,,,
BAEN,,,,,2,2,1,1,,,,,3
BCBP,,,,,1,1,,,3,3,,,4
CLAG,,,,,,,,,,,,,
ENTO,,1,,,,1,,,,,,,1
ESSM,,,,,,,1,1,,,,,1
HRSC,,,,,,,,,,,,,
NFSC,,,1,2,,3,,,,,,,3
RPTS,,,,,1,1,,,,,,,1
SCSC,,,,,,,2,2,,,,,2
WFSC,,,,,1,1,,,2,2,,,3
Subtotal,,1,1,3,7,12,5,5,6,6,,,23
Architecture,ARCH,,,,,,1,1,3,3,,,4
CLAR,,,,,,,,,,,,,
COSC,,,1,,,1,1,1,,,,,2
LAUP,,,,,,,2,2,,,,,2
VIZA,,,,,,,1,1,,,,,1
Subtotal,,,1,,,1,5,5,3,3,,,9
Business,ACCT,,,1,,1,5,5,2,2,,,8
Admin,CLBA,2,1,,,3,30,30,,,,,33
FINC,,,,2,1,3,2,2,,,,,5
INFO,,,,,1,1,2,2,,,,,3
MGMT,,,,,1,1,6,6,,,,,7
MKTG,,,,1,,1,4,4,1,1,,,6
Subtotal,,2,1,4,3,10,49,49,3,3,,,62
Education,CLED,,,,,,,,,,,,
EAHR,,,,,,,3,3,1,1,,,4
EPSY,,,,,,,1,1,1,1,,,2
HLKN,,,,1,,1,2,2,,,,,3
TLAC,,,,1,,1,2,2,1,1,,,4
Subtotal,,,,2,,2,8,8,3,3,,,13
