Ethnicity Native Hawaii Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,ABME,,,,,,,,,,,,,
ALEC,,,,,,,,,,,,,,
ALED,,,1,1,,2,,,,,,,2,
BAEN,,,,,,,,,,,,,,
BESC,,,,,1,1,,,,,,,1,
NUSC,,,,,1,1,,,,,,,1,
USAL,,,,,,,,,,,,,,
WFSC,,,,1,1,2,,,,,,,2,
Subtotal,,,1,2,3,6,,,,,,,6,
Architecture,ARCH,,,,,,,,,,,,,
URSC,,,,,,,,,,,,,,
USAR,,1,,,,1,,,,,,,1,
Subtotal,,1,,,,1,,,,,,,1,
Business Admin,ACCT,,,,1,1,,,,,,,1,
BUAD,,2,,,,2,,,,,,,2,
BUAG,,,,,,,,,,,,,,
SCMT,,,,1,,1,,,,,,,1,
USBU,,,,,,,,,,,,,,
Subtotal,,2,,1,1,4,,,,,,,4,
Education,ATTR,,,,,,,,,,,,,
EDHL,,,1,,,1,,,,,,,1,
HLTH,,,,,1,1,,,,,,,1,
Subtotal,,,1,,1,2,,,,,,,2,
Engineering,AERL,,1,,,1,,,,,,,1,
CEEL,,,,,,,,,,,,,,
CEEN,,,,,,,,,,,,,,
CHEL,,1,,,,1,,,,,,,1,
CHEN,,,,,1,1,,,,,,,1,
CPSC,,,,,,,,,1,1,,,1,
CPSL,,1,,,,1,,,,,,,1,
ELEL,,,,,1,1,,,,,,,1,
ELEN,,,,,,,1,1,,,,,1,
IDIS,,,,,1,1,,,,,,,1,
INEL,,,,,,,,,,,,,,
INEN,,,,,1,1,,,,,,,1,
MEEN,,,,,1,1,,,,,,,1,
OCEN,,,,,2,2,,,,,,,2,
PETE,,,1,,,1,,,,,,,1,
Subtotal,,2,2,,7,11,1,1,1,1,,,13,
G. Bush School of,CAIA,,,,,,,,,,,,,
Govt,INTA,,,,,,,,,,,,,
PSAA,,,,,,,1,1,,,,,1,
Liberal Arts,Subtotal ANTH,,,,,,1,1,,,,,1,
CLSS,,,,,,,,,,,,,,
COMM,,,1,,,1,,,,,,,1,
ECON,,1,,,,1,,,,,,,1,
ENGL,,,,,1,1,,,,,,,1,
HISP,,,,,,,,,,,,,,
HIST,,,1,,1,2,,,,,,,2,
INTS,,,1,,1,2,,,,,,,2,
Subtotal,,1,3,,3,7,,,,,,,7,
Science,ANLY,,,,,,,,,,,,,
BIOL,,1,,,,1,,,,,,,1,
GENE,,,,,,,,,,,,,,
MATH,,,,,1,1,,,,,,,1,
,Subtotal,1,7,3,1,2,2,2,1,1,,,2,
University,Total,7,,,16,33,,,,,,,36,
