Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,,,,,
ADEV,,,,,,2,2,,,,,2
AGBL,7,9,6,2,24,,,,,,,24
AGBU,,,8,10,18,4,4,,,,,22
AGCJ,2,5,12,18,37,,,,,,,37
AGEC,2,3,4,12,21,3,3,2,2,,,26
AGED,,,,,,,,2,2,,,2
AGLS,8,5,1,1,15,,,,,,,15
AGRO,,,2,5,7,,,,,,,7
AGSC,,4,6,3,13,,,,,,,13
AGSM,,1,3,10,14,,,,,,,14
ALEC,,,,,,6,6,4,4,,,10
ALED,3,9,24,27,63,,,,,,,63
ANBR,,,,,,,,,,,,
ANSC,40,38,51,63,192,4,4,6,6,,,202
BAEN,5,7,5,18,35,4,4,2,2,,,41
BESC,7,11,26,35,79,,,,,,,79
BICH,16,14,11,11,52,,,4,4,,,56
CDEV,1,1,2,2,6,,,,,,,6
ECOR,,,1,2,3,,,,,,,3
ENST,,3,2,2,7,,,,,,,7
ENTO,,2,7,11,20,4,4,4,4,,,28
ESSM,,,,,,2,2,6,6,,,8
FIVL,9,6,2,,17,,,,,,,17
FIVS,,,4,6,10,,,,,,,10
FORS,2,,2,,4,1,1,,,,,5
FSTC,1,1,9,14,25,2,2,1,1,,,28
GENE,4,2,6,9,21,,,7,7,,,28
HORT,2,7,5,14,28,3,3,2,2,,,33
MEPS,,,,,,,,2,2,,,2
NRDV,,,,,,1,1,,,,,1
NUSC,7,24,38,44,113,,,,,,,113
NUTR,,,,,,4,4,1,1,,,5
PLBR,,,,,,2,2,1,1,,,3
PLPA,,,,,,,,2,2,,,2
POSC,1,4,11,9,25,3,3,1,1,,,29
PREP,,,,,,,,,,,,
PSSC,3,4,3,5,15,,,,,,,15
RENR,,7,3,6,16,,,,,,,16
RLEM,,2,2,1,5,1,1,,,,,6
RPTS,4,10,12,16,42,,,,,,,42
RRDV,,,,,,,,,,,,
SOSC,,,,,,2,2,1,1,,,3
SPSA,,3,,3,6,,,,,,,6
TGSC,,,4,,4,,,,,,,4
TOXI,,,,,,,,,,,,
USAL,1,5,20,18,44,,,,,,,44
WFSC,2,11,19,39,71,9,9,16,16,,,96
WISC,,,,,,3,3,,,,,3
WMHS,,,,,,2,2,,,,,2
Subtotal,127,198,311,416,"1,052",62,62,64,64,,,"1,178"
