Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,,,,,
ADEV,,,,,,,,,,,,
AGBL,,2,,,2,,,,,,,2
AGBU,,,3,1,4,,,,,,,4
AGCJ,,,3,2,5,,,,,,,5
AGEC,1,2,1,,4,,,,,,,4
AGED,,,,,,,,,,,,
AGLS,,,1,,1,,,,,,,1
AGRO,,,1,1,2,,,,,,,2
AGSC,,1,,2,3,,,,,,,3
AGSM,,1,2,1,4,,,,,,,4
ALEC,,,,,,2,2,,,,,2
ALED,,1,2,5,8,,,,,,,8
ANBR,,,,,,,,,,,,
ANSC,4,3,5,11,23,,,,,,,23
BAEN,1,1,2,4,8,1,1,,,,,9
BESC,,1,2,1,4,,,,,,,4
BICH,1,2,3,2,8,,,1,1,,,9
CDEV,,,,,,,,,,,,
ECOR,,,,,,,,,,,,
ENST,,,,2,2,,,,,,,2
ENTO,,3,,3,6,1,1,,,,,7
ESSM,,,,,,,,,,,,
FIVL,1,,,,1,,,,,,,1
FIVS,,,,,,,,,,,,
FORS,1,,,,1,,,,,,,1
FSTC,,,1,2,3,1,1,,,,,4
GENE,,2,,1,3,,,,,,,3
HORT,,1,,,1,,,1,1,,,2
MEPS,,,,,,,,1,1,,,1
NRDV,,,,,,1,1,,,,,1
NUSC,,1,2,8,11,,,,,,,11
NUTR,,,,,,,,,,,,
PLBR,,,,,,,,,,,,
PLPA,,,,,,1,1,,,,,1
POSC,,1,1,,2,,,,,,,2
PREP,,,,,,,,,,,,
PSSC,,,2,,2,,,,,,,2
RENR,,,2,,2,,,,,,,2
RLEM,1,2,1,1,5,,,,,,,5
RPTS,,5,3,2,10,,,,,,,10
RRDV,,,,,,,,,,,,
SOSC,,,,,,,,1,1,,,1
SPSA,,,1,1,2,,,,,,,2
TGSC,,,,,,,,,,,,
TOXI,,,,,,,,,,,,
USAL,,3,2,,5,,,,,,,5
WFSC,1,1,,5,7,,,1,1,,,8
WISC,,,,,,,,,,,,
WMHS,,,,,,,,,,,,
Subtotal,11,33,40,55,139,7,7,5,5,,,151
