Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,6,6,,,6
ADEV,,,,,,,,,,,,
AGBL,1,1,2,,4,,,,,,,4
AGBU,,,1,2,3,9,9,,,,,12
AGCJ,,,,2,2,,,,,,,2
AGEC,2,,1,3,6,9,9,37,37,,,52
AGED,,,,,,,,1,1,,,1
AGLS,,1,,,1,,,,,,,1
AGRO,,,,1,1,2,2,2,2,,,5
AGSC,,,,,,,,,,,,
AGSM,,,1,2,3,1,1,,,,,4
ALEC,,,,,,,,3,3,,,3
ALED,,,,1,1,,,,,,,1
ANBR,,,,,,,,1,1,,,1
ANSC,,,1,1,2,1,1,5,5,,,8
BAEN,,,1,1,2,8,8,27,27,,,37
BESC,11,,,,11,,,,,,,11
BICH,,1,1,5,7,2,2,57,57,,,66
CDEV,,,,,,,,,,,,
ECOR,,,,,,,,,,,,
ENST,,,,,,,,,,,,
ENTO,,1,,,1,3,3,15,15,,,19
ESSM,,,,,,,,10,10,,,10
FIVL,,,,,,,,,,,,
FIVS,,,,1,1,,,,,,,1
FORS,,,,,,,,3,3,,,3
FSTC,,,2,1,3,7,7,10,10,,,20
GENE,,,,3,3,,,5,5,,,8
HORT,2,1,,1,4,7,7,7,7,,,18
MEPS,,,,,,2,2,16,16,,,18
NRDV,,,,,,,,,,,,
NUSC,1,,,1,2,,,,,,,2
NUTR,,,,,,4,4,6,6,,,10
PLBR,,,,,,6,6,13,13,,,19
PLPA,,,,,,2,2,10,10,,,12
POSC,,,1,1,2,3,3,3,3,,,8
PREP,,,,,,,,4,4,,,4
PSSC,,1,1,,2,,,,,,,2
RENR,,1,,,1,,,,,,,1
RLEM,,,,,,,,,,,,
RPTS,,1,1,1,3,5,5,22,22,,,30
RRDV,,,,,,,,,,,,
SOSC,,,,,,,,7,7,,,7
SPSA,,,,,,,,,,,,
TGSC,,,,,,,,,,,,
TOXI,,,,,,,,1,1,,,1
USAL,,,2,2,4,,,,,,,4
WFSC,,,,,,1,1,17,17,,,18
WISC,,,,,,,,,,,,
WMHS,,,,,,2,2,1,1,,,3
Subtotal,17,8,15,29,69,74,74,289,289,,,432
