Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,1,,,,1,,,,,,,1
ALEC,,11,9,19,29,68,,,6,6,,,74
ANSC,,7,4,4,3,18,3,3,3,3,,,24
BAEN,,,2,1,2,5,2,2,3,3,,,10
BCBP,,3,5,3,10,21,,,3,3,,,24
CLAG,,2,2,1,2,7,,,,,,,7
ENTO,,2,,1,2,5,,,1,1,,,6
ESSM,,,1,1,2,4,,,1,1,,,5
HRSC,,1,3,,,4,,,,,,,4
NFSC,,2,4,5,11,22,1,1,1,1,,,24
PLPM,,,2,6,6,14,,,2,2,,,16
POSC,,1,1,,1,3,,,1,1,,,4
RPTS,,3,5,9,9,26,2,2,4,4,,,32
SCSC,,,2,,,2,3,3,3,3,,,8
WFSC,,1,2,4,2,9,2,2,1,1,,,12
Subtotal,,34,42,54,79,209,13,13,29,29,,,251
Architecture,ARCH,2,3,,1,6,1,1,,,,,7
CLAR,,4,1,2,1,8,,,,,,,8
COSC,,,4,5,3,12,4,4,,,,,16
LAUP,,,1,1,,2,4,4,4,4,,,10
VIZA,,,1,1,1,3,,,,,,,3
Subtotal,,6,10,9,6,31,9,9,4,4,,,44
Business,ACCT,,,5,5,10,3,3,2,2,,,15
Admin,CLBA,30,14,7,4,55,8,8,,,,,63
FINC,,,,,4,4,,,,,,,4
INFO,,,,3,11,14,1,1,,,,,15
MGMT,,,,2,8,10,1,1,2,2,,,13
MKTG,,,,2,2,4,,,,,,,4
Subtotal,,30,14,19,34,97,13,13,4,4,,,114
