Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Liberal Arts,ANTH,,,2,,2,,,1,1,,,3,
CLLA,,,,,,,,,,,,,,
COMM,,,2,2,1,5,,,,,,,5,
ECON,,,,2,1,3,,,,,,,3,
ENGL,,1,,,3,4,,,,,,,4,
HISP,,,,,,,,,,,,,,
HIST,,,,1,,1,,,,,,,1,
INTS,,,,,1,1,,,,,,,1,
PHUM,,,,,,,,,,,,,,
POLS,,,,,2,2,,,,,,,2,
PRFM,,,,,,,,,,,,,,
PSYC,,1,,2,2,5,,,,,,,5,
SOCI,,,,,2,2,,,1,1,,,3,
Subtotal,,2,2,9,12,25,,,2,2,,,27,
Science,BIOL,2,,1,3,6,,,,,,,6,
CHEM,,,,,,,,,,,,,,
CLSC,,,,,,,,,,,,,,
MATH,,,,,,,,,,,,,,
PHYS,,1,1,,,2,,,1,1,,,3,
STAT,,,,,,,,,,,,,,
Subtotal,,3,1,1,3,8,,,1,1,,,9,
Veterinary,CLVM,,1,,,1,1,1,,,3,3,5,
Medicine,VIBS,,,,,,,,,,,,,
Subtotal,,,1,,,1,1,1,,,3,3,5,
General,GEST,4,1,1,,6,,,,,,,6,
Studies,Subtotal,4,1,1,43,6,9,9,8,8,3,3,6,
University,Total,19,13,37,,112,,,,,,,132,
"Prepared by DARS, 14 Feb 14",,,,,,,,,,,,,,
