Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,1,4,4,1,10,,,,,,,10
ALEC,,,5,7,9,21,2,2,,,,,23
ANSC,,4,3,5,11,23,,,,,,,23
BAEN,,1,2,4,5,12,1,1,,,,,13
BCBP,,1,4,3,3,11,,,1,1,,,12
CLAG,,,,1,,1,,,,,,,1
ENTO,,1,3,,3,7,1,1,,,,,8
ESSM,,2,2,4,2,10,,,,,,,10
HRSC,,,1,,,1,,,1,1,,,2
NFSC,,,1,3,10,14,1,1,,,,,15
PLPM,,,1,2,3,6,1,1,,,,,7
POSC,,,1,1,,2,,,,,,,2
RPTS,,,5,3,2,10,,,,,,,10
SCSC,,,,3,1,4,,,2,2,,,6
WFSC,,1,1,,5,7,1,1,1,1,,,9
Subtotal,,11,33,40,55,139,7,7,5,5,,,151
Architecture,ARCH,2,,1,2,5,,,,,,,5
CLAR,,,1,,,1,,,,,,,1
COSC,,1,2,4,3,10,,,,,,,10
LAUP,,1,,2,3,6,,,,,,,6
VIZA,,1,,1,2,4,3,3,,,,,7
Subtotal,,5,3,8,10,26,3,3,,,,,29
Business,ACCT,,,9,8,17,1,1,,,,,18
Admin,CLBA,11,19,9,2,41,,,,,,,41
FINC,,,1,3,7,11,2,2,,,,,13
INFO,,,,1,7,8,2,2,,,,,10
MGMT,,,,,3,3,,,,,,,3
MKTG,,,,4,6,10,,,,,,,10
Subtotal,,11,20,26,33,90,5,5,,,,,95
Education,CLED,,,,,,,,,,,,
EAHR,,3,1,4,1,9,2,2,1,1,,,12
EPSY,,,1,1,3,5,,,5,5,,,10
HLKN,,7,9,13,32,61,3,3,2,2,,,66
TLAC,,1,4,7,12,24,5,5,2,2,,,31
Subtotal,,11,15,25,48,99,10,10,10,10,,,119
