Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,,,,,
ADEV,,,,,,,,,,,,
AGBL,1,,,,1,,,,,,,1
AGBU,,,,,,,,,,,,
AGCJ,2,1,4,7,14,,,,,,,14
AGEC,,,,,,,,,,,,
AGED,,,,,,,,1,1,,,1
AGLS,1,2,1,1,5,,,,,,,5
AGRO,,,,,,1,1,1,1,,,2
AGSC,,,,,,,,,,,,
AGSM,,1,1,,2,,,,,,,2
ALEC,,,,,,,,5,5,,,5
ALED,9,7,10,18,44,,,,,,,44
ANBR,,,,,,,,,,,,
ANSC,7,4,4,3,18,3,3,3,3,,,24
BAEN,,1,,2,3,2,2,3,3,,,8
BESC,,2,6,6,14,,,,,,,14
BICH,3,5,1,9,18,,,1,1,,,19
CDEV,,,,,,,,,,,,
ECOR,,,,,,,,,,,,
ENST,,,,,,,,,,,,
ENTO,,,,2,2,,,1,1,,,3
ESSM,,,,,,,,1,1,,,1
FIVL,2,,,,2,,,,,,,2
FIVS,,,1,,1,,,,,,,1
FORS,,,,,,,,,,,,
FSTC,,2,1,3,6,,,1,1,,,7
GENE,,,2,1,3,,,2,2,,,5
HORT,1,3,,,4,,,,,,,4
MEPS,,,,,,,,1,1,,,1
NRDV,,,,,,,,,,,,
NUSC,2,2,4,8,16,,,,,,,16
NUTR,,,,,,,,,,,,
PLBR,,,,,,,,,,,,
PLPA,,,,,,,,2,2,,,2
POSC,1,1,,1,3,,,1,1,,,4
PREP,,,,,,,,,,,,
PSSC,,2,,,2,,,,,,,2
RENR,,1,1,2,4,,,,,,,4
RLEM,,,,,,,,,,,,
RPTS,3,5,9,9,26,2,2,4,4,,,32
RRDV,,,,,,,,,,,,
SOSC,,,,,,2,2,1,1,,,3
SPSA,,,,,,,,,,,,
TGSC,,,,,,,,,,,,
TOXI,,,,,,1,1,,,,,1
USAL,1,1,5,5,12,,,,,,,12
WFSC,1,2,4,2,9,2,2,1,1,,,12
WISC,,,,,,,,,,,,
WMHS,,,,,,,,,,,,
Subtotal,34,42,54,79,209,13,13,29,29,,,251
