Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,,,,,,,
COMG,,,,,,,,,,,,,
COSC,,,,2,2,4,,,,,,,4
COSL,,1,2,2,1,6,,,,,,,6
ENDL,,2,,1,,3,,,,,,,3
ENDS,,,,,2,2,,,,,,,2
LAND,,,,,3,3,,,,,,,3
LANL,,1,,1,,2,,,,,,,2
LPDV,,,,,,,,,,,,,
URPL,,,,,,,,,,,,,
URPN,,,,1,,1,,,,,,,1
URSC,,,,,,,,,,,,,
USAR,,,1,,,1,,,,,,,1
VISL,,1,,1,,2,,,,,,,2
VIST,,,,,2,2,3,3,,,,,5
Subtotal,,5,3,8,10,26,3,3,,,,,29
Business Admin,ACCT,,,9,8,17,1,1,,,,,18
AGBU,,,,,1,1,,,,,,,1
BHNR,,,,2,1,3,,,,,,,3
BUAD,,11,18,5,,34,,,,,,,34
BUAG,,,,,,,,,,,,,
EMBA,,,,,,,,,,,,,
FINC,,,1,3,7,11,2,2,,,,,13
INFO,,,,,,,,,,,,,
MGMT,,,,,3,3,,,,,,,3
MISY,,,,1,1,2,2,2,,,,,4
MKTG,,,,4,6,10,,,,,,,10
MLER,,,,,,,,,,,,,
PMBA,,,,,,,,,,,,,
SCMT,,,,,6,6,,,,,,,6
USBU,,,1,2,,3,,,,,,,3
Subtotal,,11,20,26,33,90,5,5,,,,,95
Education,ATTR,,,,,,,,,,,,
BIED,,,,,,,,,,,,,
CPSY,,,,,,,,,1,1,,,1
EDAD,,,,,,,,,,,,,
EDCI,,,,,,,5,5,2,2,,,7
EDHL,,3,2,9,6,20,,,,,,,20
EDIS,,1,4,5,,10,,,,,,,10
EDKI,,1,6,3,2,12,,,,,,,12
EDSM,,3,1,1,3,8,,,,,,,8
EDTC,,,,,,,,,,,,,
EHRD,,,,,,,2,2,1,1,,,3
EPSY,,,,,,,,,2,2,,,2
GENE,,,,,,,,,,,,,
HEED,,,,,,,1,1,1,1,,,2
HLTH,,,,,6,6,,,,,,,6
HRDL,,,1,2,,3,,,,,,,3
HRDV,,,,,1,1,,,,,,,1
INST,,,1,3,15,19,,,,,,,19
KINE,,,,,13,13,1,1,1,1,,,15
NUTR,,,,,,,,,,,,,
SPED,,,,,,,,,,,,,
SPMT,,,,,2,2,1,1,,,,,3
SPSY,,,,,,,,,2,2,,,2
TCMG,,,,,,,,,,,,,
TCML,,3,,2,,5,,,,,,,5
TECR,,,,,,,,,,,,,
USEH,,,,,,,,,,,,,
Subtotal,,11,15,25,48,99,10,10,10,10,,,119
