Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,ABME,,,,,,,,,,,,
AGBU,,,,,,,,,,,,,
AGCJ,,,,1,,1,,,,,,,1
AGEC,,,,,,,,,1,1,,,1
AGRO,,,,,,,1,1,,,,,1
ALEC,,,,,,,1,1,,,,,1
ALED,,,,,,,,,,,,,
BAEN,,,,,2,2,1,1,,,,,3
BESC,,,,,,,,,,,,,
BICH,,,,,1,1,,,2,2,,,3
ESSM,,,,,,,,,,,,,
FIVL,,1,,,,1,,,,,,,1
FSTC,,,,2,,2,,,,,,,2
GENE,,,,,,,,,1,1,,,1
NRDV,,,,,,,1,1,,,,,1
NUSC,,,1,,,1,,,,,,,1
RPTS,,,,,1,1,,,,,,,1
RRDV,,,,,,,,,,,,,
SOSC,,,,,,,1,1,,,,,1
TOXI,,,,,,,,,,,,,
USAL,,,,,2,2,,,,,,,2
WFSC,,,,,1,1,,,2,2,,,3
Subtotal,,1,1,3,7,12,5,5,6,6,,,23
Architecture,ARCH,,,,,,1,1,3,3,,,4
COMG,,,,,,,1,1,,,,,1
COSC,,,,,,,,,,,,,
COSL,,,1,,,1,,,,,,,1
LPDV,,,,,,,,,,,,,
URPL,,,,,,,2,2,,,,,2
VIST,,,,,,,1,1,,,,,1
Subtotal,,,1,,,1,5,5,3,3,,,9
Business Admin,ACCT,,,1,,1,5,5,2,2,,,8
BUAD,,2,1,,,3,8,8,,,,,11
BUAG,,,,,,,,,,,,,
EMBA,,,,,,,14,14,,,,,14
FINC,,,,2,1,3,,,,,,,3
INFO,,,,,,,,,,,,,
MGMT,,,,,1,1,6,6,,,,,7
MISY,,,,,,,2,2,,,,,2
MKTG,,,,1,,1,4,4,1,1,,,6
MLER,,,,,,,2,2,,,,,2
PMBA,,,,,,,8,8,,,,,8
SCMT,,,,,1,1,,,,,,,1
USBU,,,,,,,,,,,,,
Subtotal,,2,1,4,3,10,49,49,3,3,,,62
Education,ATTR,,,,,,1,1,,,,,1
EDAD,,,,,,,1,1,1,1,,,2
EDCI,,,,,,,2,2,1,1,,,3
EDHL,,,,,,,,,,,,,
EDIS,,,,1,,1,,,,,,,1
EDKI,,,,1,,1,,,,,,,1
EHRD,,,,,,,2,2,,,,,2
EPSY,,,,,,,,,1,1,,,1
SPED,,,,,,,1,1,,,,,1
SPMT,,,,,,,1,1,,,,,1
USEH,,,,,,,,,,,,,
Subtotal,,,,2,,2,8,8,3,3,,,13
