Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,1,1,,,,,1
COMG,,,,,,,4,4,,,,,4
COSC,,,,2,3,5,,,,,,,5
COSL,,,4,3,,7,,,,,,,7
ENDL,,2,3,,,5,,,,,,,5
ENDS,,,,,1,1,,,,,,,1
LAND,,,,,,,,,,,,,
LANL,,,,,,,,,,,,,
LPDV,,,,,,,,,,,,,
URPL,,,,,,,4,4,,,,,4
URPN,,,1,1,,2,,,,,,,2
URSC,,,,,,,,,4,4,,,4
USAR,,4,1,2,1,8,,,,,,,8
VISL,,,1,1,1,3,,,,,,,3
VIST,,,,,,,,,,,,,
Subtotal,,6,10,9,6,31,9,9,4,4,,,44
Business Admin,ACCT,,,5,5,10,3,3,2,2,,,15
AGBU,,,,,,,,,,,,,
BHNR,,,,1,,1,,,,,,,1
BUAD,,30,14,4,,48,1,1,,,,,49
BUAG,,,,,,,,,,,,,
EMBA,,,,,,,6,6,,,,,6
FINC,,,,,4,4,,,,,,,4
INFO,,,,,,,,,,,,,
MGMT,,,,2,8,10,1,1,2,2,,,13
MISY,,,,1,7,8,1,1,,,,,9
MKTG,,,,2,2,4,,,,,,,4
MLER,,,,,,,,,,,,,
PMBA,,,,,,,1,1,,,,,1
SCMT,,,,2,4,6,,,,,,,6
USBU,,,,2,4,6,,,,,,,6
Subtotal,,30,14,19,34,97,13,13,4,4,,,114
Education,ATTR,,,,,,6,6,,,,,6
BIED,,,,,,,,,,,,,
CPSY,,,,,,,,,7,7,,,7
EDAD,,,,,,,4,4,27,27,,,31
EDCI,,,,,,,14,14,30,30,,,44
EDHL,,14,10,11,3,38,,,,,,,38
EDIS,,6,6,3,,15,,,,,,,15
EDKI,,14,7,3,1,25,,,,,,,25
EDSM,,14,8,11,2,35,,,,,,,35
EDTC,,,,,,,,,,,,,
EHRD,,,,,,,8,8,14,14,,,22
EPSY,,,,,,,3,3,2,2,,,5
GENE,,,,,,,,,,,,,
HEED,,,,,,,3,3,4,4,,,7
HLTH,,,,,15,15,,,,,,,15
HRDL,,5,1,2,1,9,,,,,,,9
HRDV,,,,,1,1,,,,,,,1
INST,,,,,7,7,,,,,,,7
KINE,,,,,8,8,2,2,3,3,,,13
NUTR,,,,,,,,,,,,,
SPED,,,,,,,1,1,,,,,1
SPMT,,,,1,7,8,13,13,,,,,21
SPSY,,,,,,,,,4,4,,,4
TCMG,,,,,1,1,,,,,,,1
TCML,,2,,4,,6,,,,,,,6
TECR,,,,,,,,,,,,,
USEH,,,1,1,,2,,,,,,,2
Subtotal,,55,33,36,46,170,54,54,91,91,,,315
