Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering,AERL,1,2,1,,4,,,,,,,4
AERO,,,3,2,6,11,1,1,,,,,12
BIOT,,,,,,,,,,,,,
BMEL,,2,2,,,4,,,,,,,4
BMEN,,,1,2,7,10,1,1,3,3,,,14
CECL,,2,2,1,1,6,,,,,,,6
CECN,,,1,,1,2,1,1,,,,,3
CEEL,,2,2,,,4,,,,,,,4
CEEN,,,1,,2,3,,,,,,,3
CHEL,,,4,2,,6,,,,,,,6
CHEN,,1,2,4,8,15,,,1,1,,,16
CPSC,,,1,1,7,9,1,1,,,,,10
CPSL,,2,5,1,2,10,,,,,,,10
CVEL,,5,2,,,7,,,,,,,7
CVEN,,,2,1,1,4,2,2,1,1,,,7
ELEL,,2,4,2,,8,,,,,,,8
ELEN,,,1,3,11,15,1,1,2,2,,,18
ENGE,,9,2,,,11,,,,,,,11
ENGR,,,,,,,,,,,,,
ENSM,,,,,,,,,,,,,
ENTC,,,,,2,2,,,,,,,2
ENTL,,,,1,,1,,,,,,,1
ESET,,,,,1,1,,,,,,,1
HLPH,,,,,,,,,,,,,
IDIL,,,,1,1,2,,,,,,,2
IDIS,,,1,2,6,9,1,1,,,,,10
INEL,,1,3,1,,5,,,,,,,5
INEN,,,,3,11,14,1,1,,,,,15
ITDE,,,,,,,,,,,,,
MEEL,,6,3,,,9,,,,,,,9
MEEN,,,3,9,5,17,1,1,,,,,18
MSEN,,,,,,,,,1,1,,,1
NUEL,,,1,,,1,,,,,,,1
NUEN,,,,3,,3,,,1,1,,,4
OCEL,,,,,,,,,,,,,
OCEN,,,,,3,3,1,1,,,,,4
PETE,,1,,3,8,12,3,3,,,,,15
PETL,,3,5,,,8,,,,,,,8
RHEL,,,,,,,,,,,,,
RHEN,,,,1,3,4,,,,,,,4
SENG,,,,,,,,,,,,,
USEN,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,,37,53,44,86,220,14,14,9,9,,,243
G. Bush School of,CAIA,,,,,,1,1,,,,,1
Govt,CHLS,,,,,,,,,,,,
CNPM,,,,,,,,,,,,,
INTA,,,,,,,5,5,,,,,5
PSAA,,,,,,,3,3,,,,,3
Subtotal,,,,,,,9,9,,,,,9
