Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture                 ABME,,,,,,,,1,1,,,1
ADEV,,,,,,,,,,,,
AGBL,1,2,1,,4,,,,,,,4
AGBU,,,,,,1,1,,,,,1
AGCJ,,,,1,1,,,,,,,1
AGEC,,,,1,1,1,1,4,4,,,6
AGED,,,,,,,,,,,,
AGLS,,1,,,1,,,,,,,1
AGRO,,,2,,2,3,3,,,,,5
AGSC,,1,,,1,,,,,,,1
AGSM,,,,1,1,,,,,,,1
ALEC,,,,,,,,3,3,,,3
ALED,,,,,,,,,,,,
ANBR,,,,,,,,,,,,
ANSC,2,3,,2,7,,,,,,,7
BAEN,3,,2,1,6,1,1,,,,,7
BESC,3,4,11,11,29,,,,,,,29
BICH,14,4,11,16,45,,,1,1,,,46
CDEV,,,1,,1,,,,,,,1
ECOR,,,1,,1,,,,,,,1
ENST,1,,,,1,,,,,,,1
ENTO,,,,2,2,1,1,1,1,,,4
ESSM,,,,,,,,1,1,,,1
FIVL,2,,,,2,,,,,,,2
FIVS,,,,2,2,,,,,,,2
FORS,,,,,,1,1,,,,,1
FSTC,4,1,3,2,10,,,,,,,10
GENE,3,2,1,6,12,,,1,1,,,13
HORT,,1,,2,3,,,1,1,,,4
MEPS,,,,,,,,1,1,,,1
NRDV,,,,,,,,,,,,
NUSC,2,7,11,15,35,,,,,,,35
NUTR,,,,,,1,1,,,,,1
PLBR,,,,,,,,1,1,,,1
PLPA,,,,,,,,2,2,,,2
POSC,,,,,,,,,,,,
PREP,,,,,,,,,,,,
PSSC,,,1,,1,,,,,,,1
RENR,,1,,1,2,,,,,,,2
RLEM,,,,,,,,,,,,
RPTS,,2,,3,5,1,1,3,3,,,9
RRDV,,,,,,,,,,,,
SOSC,,,,,,,,1,1,,,1
SPSA,,,,,,,,,,,,
TGSC,,1,,,1,,,,,,,1
TOXI,,,,,,,,,,,,
USAL,,1,,,1,,,,,,,1
WFSC,,,2,2,4,,,,,,,4
WISC,,,,,,,,,,,,
WMHS,,,,,,1,1,,,,,1
Subtotal,35,31,47,68,181,11,11,21,21,,,213
