Spring 2014,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,2 or More/Excluding Black,,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Engineering,AERL,21,160,,,2,7,1,5,7,64,,1,1,3,,4,1,,33,244,277
AERO,,41,246,,3,1,16,,4,9,58,,,3,9,6,36,,1,60,373,433
BIOT,,2,1,,,,3,1,1,1,1,,,,,15,2,,,19,8,27
BMEL,,55,35,,,5,5,1,1,11,14,,,2,2,1,,,,75,57,132
BMEN,,84,121,,1,13,21,1,5,22,31,,,5,9,10,24,1,2,136,214,350
CECL,,9,76,,,2,19,4,6,5,40,,,1,5,,5,,,21,151,172
CECN,,8,104,,1,2,13,2,1,4,21,,,,3,12,65,1,,29,208,237
CEEL,,5,41,,,,8,,,,24,,,,4,,4,,,5,81,86
CEEN,,6,68,,1,2,14,,5,3,21,,,,3,23,131,1,2,35,245,280
CHEL,,54,92,,1,5,14,,4,17,22,,1,,6,,3,,,76,143,219
CHEN,,85,194,1,1,16,39,1,7,21,31,,1,6,10,26,60,1,3,157,346,503
CPSC,,22,207,1,1,2,34,1,10,5,41,,1,2,8,33,120,1,5,67,427,494
CPSL,,12,131,,2,7,20,2,7,8,55,,1,2,8,1,5,,,32,229,261
CVEL,,48,123,1,2,5,8,1,7,16,40,,,1,6,,3,,,72,189,261
CVEN,,123,356,,1,11,19,3,10,36,89,,,,7,68,161,2,2,243,645,888
ELEL,,23,163,,1,5,23,3,8,12,54,1,,2,6,4,13,,1,50,269,319
ELEN,,32,277,,1,17,61,5,9,14,102,,1,1,17,53,319,,6,122,793,915
ENGE,,29,89,,1,8,12,4,6,14,34,,,5,6,,,,1,60,149,209
ENGR,,,1,,,1,2,1,,,,,,,,1,,,1,3,4,7
ENSM,,1,3,,,,1,,1,,,,,,,1,3,,,2,8,10
ENTC,,11,176,,,2,13,3,7,12,63,,,,2,1,3,,,29,264,293
ENTL,,10,122,,,2,10,1,10,7,45,,,,1,,5,,,20,193,213
ESET,,1,18,,1,,4,,3,1,11,,,,1,,,,,2,38,40
HLPH,,3,7,,1,,,,1,,1,,,,,1,,,,4,10,14
IDIL,,14,85,,1,1,2,,4,3,6,,,1,1,,,,,19,99,118
IDIS,,55,297,,1,5,6,4,13,15,54,,1,2,8,1,6,,4,82,390,472
INEL,,33,107,,2,2,9,1,3,15,39,,,1,4,8,8,,,60,172,232
INEN,,62,206,,,4,25,4,13,27,70,,1,4,11,59,121,,2,160,449,609
ITDE,,,2,,,1,,1,,,,,,,,,,,,2,2,4
MEEL,,39,186,,2,,5,,7,8,50,,,3,6,3,7,,,53,263,316
MEEN,,95,601,,3,12,48,3,16,26,114,,1,,18,56,232,1,5,193,"1,038","1,231"
MSEN,,5,17,,,,3,,2,,2,,,,1,13,50,,1,18,76,94
NUEL,,4,44,,,,8,,1,2,14,,,,1,,2,,,6,70,76
NUEN,,17,138,,,,12,2,7,5,35,,,,4,2,36,,,26,232,258
OCEL,,9,11,,,,1,1,1,3,3,,,,,2,2,,,15,18,33
OCEN,,12,45,,2,1,7,,2,5,11,,2,,4,9,42,,2,27,117,144
PETE,,75,392,1,6,12,40,3,17,11,73,,1,3,12,57,176,4,10,166,727,893
PETL,,38,154,,,2,14,,3,5,40,,,3,5,2,10,,,50,226,276
RHEL,,8,4,,,1,2,1,,2,2,,,,,,,,,12,8,20
RHEN,,15,9,,,2,2,,1,5,5,,,1,3,,1,,,23,21,44
SENG,,2,5,,,,1,,1,1,1,,,,,6,8,1,,10,16,26
USEN,,,1,,,,,,,,,,,,,,,,,,1,1
WMHS,,,,,,,,,,,,,,,,1,,,,1,,1
Subtotal,,"1,168","5,115",4,36,151,551,55,209,358,"1,381",1,12,49,194,475,"1,667",14,48,"2,275","9,213","11,488"
G. Bush School of,CAIA,6,29,,,,2,1,,,5,,,,1,,,,,7,37,44
Govt,CHLS,4,11,,,,1,1,,2,2,,,,,,,,,7,14,21
CNPM,,8,7,,,1,,7,1,2,5,,,,,,,,,18,13,31
INTA,,43,69,,,3,3,1,2,9,9,,,2,3,3,10,1,1,62,97,159
PSAA,,37,30,,,1,,3,4,6,4,,1,1,2,11,12,1,1,60,54,114
Subtotal,,98,146,,,5,6,13,7,19,25,,1,3,6,14,22,2,2,154,215,369
