Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,,,,,,,
ENGS,,,1,2,3,6,,,,,,,6
ENST,,,1,,,1,,,,,,,1
GEOG,,1,1,1,1,4,,,1,1,,,5
GEOL,,1,,2,1,4,,,,,,,4
GEOP,,,,,1,1,,,,,,,1
GEOS,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
METL,,3,,,,3,,,,,,,3
METR,,,,,,,,,,,,,
OCNG,,,,,,,,,1,1,,,1
SPSG,,,,,,,,,,,,,
USGE,,,,,,,,,,,,,
WMHS,,,,,,,,,1,1,,,1
Subtotal,,5,3,5,6,19,,,3,3,,,22
Liberal Arts,ANTH,1,1,1,4,7,,,4,4,,,11
CLSS,,,,,,,,,,,,,
COMM,,,6,7,3,16,,,,,,,16
ECON,,,2,7,10,19,,,1,1,,,20
ENGL,,2,2,2,4,10,,,1,1,,,11
FREN,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,
HISP,,,,,,,,,,,,,
HIST,,,8,6,4,18,,,,,,,18
INTS,,,4,1,12,17,,,,,,,17
MODL,,,1,,1,2,,,,,,,2
MUSC,,,1,,,1,,,,,,,1
NRSC,,,,,,,,,,,,,
PERF,,,,,,,1,1,,,,,1
PHIL,,1,2,1,2,6,,,,,,,6
POLS,,4,4,3,10,21,,,,,,,21
PSYC,,3,4,9,6,22,,,,,,,22
RUSS,,,,,,,,,,,,,
SOCI,,,2,5,3,10,1,1,2,2,,,13
SPAN,,,1,,,1,,,,,,,1
TCMS,,,1,2,2,5,,,,,,,5
THAR,,,,,,,,,,,,,
USLA,,,,,,,,,,,,,
WGST,,,,,,,,,,,,,
Subtotal,,11,39,44,61,155,2,2,8,8,,,165
Science,ANLY,,,,,,,,,,,,
APHY,,,,,,,,,,,,,
APMS,,,1,,4,5,,,,,,,5
BIOL,,13,7,7,9,36,,,,,,,36
BMCB,,,,,1,1,,,,,,,1
CHEM,,1,1,3,3,8,,,,,,,8
GENE,,,,,,,,,,,,,
MATH,,3,,2,2,7,2,2,2,2,,,11
MBIO,,1,1,,2,4,,,,,,,4
MEPS,,,,,,,,,,,,,
MSEN,,,,,,,,,1,1,,,1
NRSC,,,,,,,,,,,,,
PHYS,,4,3,1,,8,1,1,3,3,,,12
STAT,,,,,,,,,1,1,,,1
USSC,,,,,,,,,,,,,
ZOOL,,,1,1,,2,,,,,,,2
Subtotal,,22,14,14,21,71,3,3,7,7,,,81
