Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,2,2,1,1,,,3
COMG,,,,,,,2,2,,,,,2
COSC,,,,1,2,3,,,,,,,3
COSL,,,5,1,,6,,,,,,,6
ENDL,,2,2,3,1,8,,,,,,,8
ENDS,,,,4,4,8,,,,,,,8
LAND,,,,1,1,2,,,,,,,2
LANL,,,3,,,3,,,,,,,3
LPDV,,,,,,,,,,,,,
URPL,,,,,,,,,,,,,
URPN,,,,2,,2,,,,,,,2
URSC,,,,,,,,,2,2,,,2
USAR,,1,3,1,2,7,,,,,,,7
VISL,,,1,2,2,5,,,,,,,5
VIST,,,,1,4,5,5,5,,,,,10
Subtotal,,3,14,16,16,49,9,9,3,3,,,61
Business Admin,ACCT,,,12,25,37,7,7,1,1,,,45
AGBU,,,,1,,1,,,,,,,1
BHNR,,,,2,4,6,,,,,,,6
BUAD,,42,32,13,,87,5,5,,,,,92
BUAG,,,,,,,,,,,,,
EMBA,,,,,,,10,10,,,,,10
FINC,,,1,17,27,45,6,6,1,1,,,52
INFO,,,,,,,,,,,,,
MGMT,,,,1,6,7,3,3,2,2,,,12
MISY,,,,2,9,11,2,2,,,,,13
MKTG,,,1,4,5,10,2,2,,,,,12
MLER,,,,,,,1,1,,,,,1
PMBA,,,,,,,17,17,,,,,17
SCMT,,,1,8,23,32,,,,,,,32
USBU,,,3,4,5,12,,,,,,,12
Subtotal,,42,38,64,104,248,53,53,4,4,,,305
Education,ATTR,,,,,,,,,,,,
BIED,,,,,,,,,,,,,
CPSY,,,,,,,,,3,3,,,3
EDAD,,,,,,,2,2,3,3,,,5
EDCI,,,,,,,6,6,2,2,,,8
EDHL,,3,11,12,5,31,,,,,,,31
EDIS,,2,6,3,,11,,,,,,,11
EDKI,,2,3,6,2,13,,,,,,,13
EDSM,,,2,8,1,11,,,,,,,11
EDTC,,,,,,,,,,,,,
EHRD,,,,,,,1,1,6,6,,,7
EPSY,,,,,,,3,3,3,3,,,6
GENE,,,,,,,,,,,,,
HEED,,,,,,,,,2,2,,,2
HLTH,,,,,13,13,,,,,,,13
HRDL,,2,1,2,,5,,,,,,,5
HRDV,,,,,8,8,,,,,,,8
INST,,,,,5,5,,,,,,,5
KINE,,,,1,6,7,1,1,2,2,,,10
NUTR,,,,,,,,,,,,,
SPED,,,,,,,,,,,,,
SPMT,,,,,1,1,1,1,,,,,2
SPSY,,,,,,,,,2,2,,,2
TCMG,,,,,3,3,,,,,,,3
TCML,,2,1,2,,5,,,,,,,5
TECR,,,,,,,,,,,,,
USEH,,,,2,2,4,,,,,,,4
Subtotal,,11,24,36,46,117,14,14,23,23,,,154
