Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering,AERL,4,1,1,,6,,,,,,,6
AERO,,,,3,,3,,,1,1,,,4
BIOT,,,,,,,2,2,,,,,2
BMEL,,2,,,,2,,,,,,,2
BMEN,,,,,5,5,,,1,1,,,6
CECL,,5,3,2,,10,,,,,,,10
CECN,,,1,,2,3,,,,,,,3
CEEL,,,,,,,,,,,,,
CEEN,,,,2,2,4,1,1,,,,,5
CHEL,,,2,2,,4,,,,,,,4
CHEN,,,,1,4,5,2,2,1,1,,,8
CPSC,,,,2,5,7,1,1,3,3,,,11
CPSL,,2,3,3,1,9,,,,,,,9
CVEL,,7,,1,,8,,,,,,,8
CVEN,,,2,3,3,8,5,5,,,,,13
ELEL,,4,1,4,2,11,,,,,,,11
ELEN,,,,4,6,10,1,1,3,3,,,14
ENGE,,10,,,,10,,,,,,,10
ENGR,,,,,,,,,1,1,,,1
ENSM,,,,,,,1,1,,,,,1
ENTC,,,,2,8,10,,,,,,,10
ENTL,,,4,3,4,11,,,,,,,11
ESET,,,,1,2,3,,,,,,,3
HLPH,,,,,,,1,1,,,,,1
IDIL,,,3,,1,4,,,,,,,4
IDIS,,,,4,8,12,5,5,,,,,17
INEL,,1,,2,1,4,,,,,,,4
INEN,,,,1,10,11,4,4,2,2,,,17
ITDE,,,,,,,,,1,1,,,1
MEEL,,5,2,,,7,,,,,,,7
MEEN,,,1,3,8,12,4,4,3,3,,,19
MSEN,,,,,,,1,1,1,1,,,2
NUEL,,1,,,,1,,,,,,,1
NUEN,,,,1,5,6,1,1,2,2,,,9
OCEL,,1,1,,,2,,,,,,,2
OCEN,,,1,,1,2,,,,,,,2
PETE,,,1,3,7,11,5,5,4,4,,,20
PETL,,2,1,,,3,,,,,,,3
RHEL,,1,,,,1,,,,,,,1
RHEN,,,,,1,1,,,,,,,1
SENG,,,,,,,1,1,,,,,1
USEN,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,,45,27,48,86,206,35,35,23,23,,,264
G. Bush School of,CAIA,,,,,,1,1,,,,,1
Govt,CHLS,,,,,,1,1,,,,,1
CNPM,,,,,,,8,8,,,,,8
INTA,,,,,,,3,3,,,,,3
PSAA,,,,,,,7,7,,,,,7
Subtotal,,,,,,,20,20,,,,,20
