Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,31,96,170,196,493,35,35,12,12,,,540
ALEC,,47,171,308,418,944,61,61,42,42,,,"1,047"
ANSC,,92,160,180,264,696,55,55,15,15,,,766
BAEN,,23,55,62,109,249,21,21,3,3,,,273
BCBP,,25,37,32,68,162,3,3,53,53,,,218
CLAG,,5,19,26,14,64,,,,,,,64
ENTO,,12,20,26,41,99,11,11,19,19,,,129
ESSM,,13,37,62,53,165,23,23,17,17,,,205
HRSC,,5,18,30,43,96,9,9,6,6,,,111
NFSC,,38,61,105,172,376,17,17,8,8,,,401
PLPM,,10,37,61,89,197,4,4,8,8,,,209
POSC,,6,19,30,38,93,8,8,7,7,,,108
RPTS,,10,62,102,152,326,19,19,16,16,,,361
SCSC,,10,23,34,30,97,32,32,36,36,,,165
WFSC,,10,41,71,114,236,42,42,35,35,,,313
Subtotal,,337,856,"1,299","1,801","4,293",340,340,277,277,,,"4,910"
Architecture,ARCH,21,37,63,87,208,36,36,11,11,,,255
CLAR,,8,34,24,16,82,,,,,,,82
COSC,,36,146,136,212,530,12,12,,,,,542
LAUP,,6,29,18,59,112,29,29,8,8,,,149
VIZA,,18,41,43,74,176,43,43,,,,,219
Subtotal,,89,287,284,448,"1,108",120,120,19,19,,,"1,247"
Business,ACCT,,9,231,329,569,124,124,10,10,,,703
Admin,CLBA,363,700,238,145,"1,446",124,124,,,,,"1,570"
FINC,,,5,182,236,423,122,122,2,2,,,547
INFO,,,1,118,232,351,37,37,,,,,388
MGMT,,,2,96,152,250,34,34,11,11,,,295
MKTG,,1,2,114,199,316,21,21,3,3,,,340
Subtotal,,364,719,979,"1,293","3,355",462,462,26,26,,,"3,843"
