Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,,,,,,,
ENGS,,,,2,3,5,,,,,,,5
ENST,,,,,2,2,,,,,,,2
GEOG,,,2,,,2,,,1,1,,,3
GEOL,,2,2,2,6,12,1,1,1,1,,,14
GEOP,,1,5,1,,7,3,3,,,,,10
GEOS,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
METL,,1,1,,,2,,,,,,,2
METR,,,,,1,1,,,,,,,1
OCNG,,,,,,,,,,,,,
SPSG,,,,,,,,,,,,,
USGE,,,,1,,1,,,,,,,1
WMHS,,,,,,,1,1,,,,,1
Subtotal,,4,10,6,12,32,5,5,2,2,,,39
Liberal Arts,ANTH,,,2,1,3,,,3,3,,,6
CLSS,,,,,,,,,,,,,
COMM,,2,2,7,2,13,,,2,2,,,15
ECON,,7,5,15,26,53,6,6,1,1,,,60
ENGL,,,1,2,7,10,1,1,1,1,,,12
FREN,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,
HISP,,,,,,,,,,,,,
HIST,,,3,1,4,8,,,,,,,8
INTS,,5,5,7,6,23,,,,,,,23
MODL,,,,,,,,,,,,,
MUSC,,,,,1,1,,,,,,,1
NRSC,,,,,,,,,,,,,
PERF,,,,,,,,,,,,,
PHIL,,,,3,2,5,1,1,,,,,6
POLS,,1,7,10,9,27,,,,,,,27
PSYC,,2,12,12,25,51,1,1,5,5,,,57
RUSS,,,,,,,,,,,,,
SOCI,,,3,4,2,9,,,1,1,,,10
SPAN,,,,,1,1,,,,,,,1
TCMS,,,2,,2,4,,,,,,,4
THAR,,,1,1,,2,,,,,,,2
USLA,,,,,,,,,,,,,
WGST,,,,1,1,2,,,,,,,2
Subtotal,,17,41,65,89,212,9,9,13,13,,,234
Science,ANLY,,,,,,,,,,,,
APHY,,,,,,,,,,,,,
APMS,,5,6,3,13,27,,,,,,,27
BIOL,,38,46,34,60,178,,,3,3,,,181
BMCB,,,5,7,4,16,,,,,,,16
CHEM,,3,11,11,17,42,,,10,10,,,52
GENE,,,,,,,,,,,,,
MATH,,13,5,2,1,21,1,1,2,2,,,24
MBIO,,,2,,5,7,,,,,,,7
MEPS,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,
NRSC,,,,,,,,,,,,,
PHYS,,8,4,3,1,16,,,4,4,,,20
STAT,,,,,,,22,22,1,1,,,23
USSC,,,,,,,,,,,,,
ZOOL,,,,1,,1,,,,,,,1
Subtotal,,67,79,61,101,308,23,23,20,20,,,351
