Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Education          CLED,,,,,,,,,,,,
EAHR,7,1,6,3,17,12,12,41,41,,,70
EPSY,,,,2,2,4,4,13,13,,,19
HLKN,42,26,27,36,131,24,24,7,7,,,162
TLAC,6,6,3,5,20,14,14,30,30,,,64
Subtotal,55,33,36,46,170,54,54,91,91,,,315
Engineering       AERO,4,1,4,,9,,,1,1,,,10
BMEN,2,,,5,7,,,1,1,,,8
CHEN,,2,3,4,9,5,5,1,1,,,15
CLEN,10,,,,10,,,2,2,,,12
CSCE,7,7,7,8,29,1,1,3,3,,,33
CVEN,8,4,4,4,20,5,5,,,,,25
ECEN,4,1,10,10,25,2,2,3,3,,,30
ETID,,7,10,23,40,5,5,,,,,45
ISEN,1,,3,11,15,5,5,2,2,,,22
MEEN,5,3,3,8,19,4,4,3,3,,,26
MSEN,,,,,,1,1,1,1,,,2
NUEN,2,,1,6,9,2,2,2,2,,,13
PETE,2,2,3,7,14,5,5,4,4,,,23
Subtotal,45,27,48,86,206,35,35,23,23,,,264
G. Bush School  BUSH,,,,,,20,20,,,,,20
of Govt                Subtotal,,,,,,20,20,,,,,20
Geosciences       ATMO,1,1,2,3,7,2,2,,,,,9
CLGE,1,,1,,2,,,,,,,2
GEOG,3,4,1,2,10,1,1,,,,,11
GEPL,3,1,,1,5,3,3,,,,,8
OCNG,,,,,,,,1,1,,,1
Subtotal,8,6,4,6,24,6,6,1,1,,,31
Liberal Arts        ANTH,,1,2,1,4,1,1,2,2,,,7
CLLA,1,,,,1,,,,,,,1
COMM,3,8,8,13,32,1,1,3,3,,,36
ECON,2,3,6,13,24,,,1,1,,,25
ENGL,5,7,4,7,23,,,1,1,,,24
HISP,,,1,,1,,,,,,,1
HIST,2,6,6,4,18,,,,,,,18
INTS,5,6,4,10,25,,,,,,,25
PHUM,,,1,,1,,,,,,,1
POLS,8,8,1,9,26,,,1,1,,,27
PRFM,,1,1,1,3,2,2,,,,,5
PSYC,7,11,20,29,67,,,4,4,,,71
SOCI,5,12,15,12,44,,,17,17,,,61
Subtotal,38,63,69,99,269,4,4,29,29,,,302
