Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,4,4,17,17,,,21
ENGS,,1,,,1,2,,,,,,,2
ENST,,,,,1,1,,,,,,,1
GEOG,,1,,,,1,4,4,8,8,,,13
GEOL,,2,1,2,7,12,8,8,21,21,,,41
GEOP,,2,,2,5,9,6,6,15,15,,,30
GEOS,,,,,,,1,1,,,,,1
MARB,,,,,,,,,,,,,
METL,,,,,,,,,,,,,
METR,,,1,,,1,,,,,,,1
OCNG,,,,,,,2,2,22,22,,,24
SPSG,,,,,,,,,,,,,
USGE,,,,,1,1,,,,,,,1
WMHS,,,,,,,4,4,8,8,,,12
Subtotal,,6,2,4,15,27,29,29,91,91,,,147
Liberal Arts,ANTH,,,,,,2,2,12,12,,,14
CLSS,,,,,,,,,,,,,
COMM,,,,,,,1,1,6,6,,,7
ECON,,2,3,5,12,22,109,109,60,60,,,191
ENGL,,,,,,,3,3,19,19,,,22
FREN,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,
HISP,,,,,,,,,12,12,,,12
HIST,,,,,,,,,3,3,,,3
INTS,,,3,,2,5,,,,,,,5
MODL,,,,,,,,,,,,,
MUSC,,,,,,,,,,,,,
NRSC,,,,,,,,,3,3,,,3
PERF,,,,,,,1,1,,,,,1
PHIL,,,,,,,,,,,,,
POLS,,,1,,1,2,,,9,9,,,11
PSYC,,,,2,3,5,,,11,11,,,16
RUSS,,,,,,,,,,,,,
SOCI,,1,,,1,2,1,1,7,7,,,10
SPAN,,1,,,,1,,,,,,,1
TCMS,,,,,,,,,,,,,
THAR,,,,,,,,,,,,,
USLA,,,,,,,,,,,,,
WGST,,,,,,,,,,,,,
Subtotal,,4,7,7,19,37,117,117,142,142,,,296
Science,ANLY,,,,,,,,,,,,
APHY,,,,,,,,,1,1,,,1
APMS,,2,1,2,3,8,,,,,,,8
BIOL,,4,,5,2,11,2,2,34,34,,,47
BMCB,,,,2,,2,,,,,,,2
CHEM,,2,2,1,2,7,2,2,124,124,,,133
GENE,,,,,,,,,,,,,
MATH,,3,,1,2,6,4,4,72,72,,,82
MBIO,,1,1,,,2,,,6,6,,,8
MEPS,,,,,,,,,1,1,,,1
MSEN,,,,,,,,,,,,,
NRSC,,,,,,,,,1,1,,,1
PHYS,,11,3,,2,16,10,10,82,82,,,108
STAT,,,,,,,2,2,42,42,,,44
USSC,,,,,,,,,,,,,
ZOOL,,,,,,,,,,,,,
Subtotal,,23,7,11,11,52,20,20,363,363,,,435
