Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,15,15,11,11,,,26
ENGS,,13,11,31,35,90,,,,,,,90
ENST,,12,16,26,24,78,,,,,,,78
GEOG,,2,6,16,42,66,17,17,18,18,,,101
GEOL,,39,38,52,75,204,34,34,19,19,,,257
GEOP,,12,17,9,10,48,9,9,4,4,,,61
GEOS,,,,,,,2,2,,,,,2
MARB,,,,,,,1,1,2,2,,,3
METL,,11,15,11,5,42,,,,,,,42
METR,,1,,16,31,48,,,,,,,48
OCNG,,,,,,,10,10,16,16,,,26
SPSG,,,,1,1,2,,,,,,,2
USGE,,2,,3,4,9,,,,,,,9
WMHS,,,,,,,13,13,4,4,,,17
Subtotal,,92,103,165,227,587,101,101,74,74,,,762
Liberal Arts,ANTH,19,29,34,35,117,20,20,56,56,,,193
CLSS,,2,4,3,8,17,,,,,,,17
COMM,,44,153,198,228,623,7,7,24,24,,,654
ECON,,37,82,148,184,451,3,3,14,14,,,468
ENGL,,28,87,118,165,398,8,8,33,33,,,439
FREN,,,,,3,3,,,,,,,3
GERM,,,,,1,1,,,,,,,1
HISP,,,,,,,,,6,6,,,6
HIST,,32,96,128,181,437,1,1,48,48,,,486
INTS,,44,102,102,198,446,,,,,,,446
MODL,,,3,3,2,8,,,,,,,8
MUSC,,1,4,7,7,19,,,,,,,19
NRSC,,,,,,,,,12,12,,,12
PERF,,,,,,,4,4,,,,,4
PHIL,,5,8,10,22,45,4,4,15,15,,,64
POLS,,60,118,138,159,475,,,25,25,,,500
PSYC,,53,150,207,350,760,8,8,43,43,,,811
RUSS,,,,,4,4,,,,,,,4
SOCI,,24,56,61,101,242,2,2,22,22,,,266
SPAN,,1,5,9,6,21,,,,,,,21
TCMS,,14,29,42,58,143,,,,,,,143
THAR,,3,6,8,12,29,,,,,,,29
USLA,,,,4,5,9,,,,,,,9
WGST,,,2,,1,3,,,,,,,3
Subtotal,,367,934,"1,220","1,730","4,251",57,57,298,298,,,"4,606"
Science,ANLY,,,,,,8,8,,,,,8
APHY,,,,,,,,,3,3,,,3
APMS,,12,31,25,54,122,,,,,,,122
BIOL,,102,127,122,176,527,3,3,23,23,,,553
BMCB,,6,10,14,23,53,,,,,,,53
CHEM,,30,31,45,53,159,2,2,80,80,,,241
GENE,,,,,,,1,1,,,,,1
MATH,,32,34,30,46,142,26,26,37,37,,,205
MBIO,,6,11,16,19,52,1,1,6,6,,,59
MEPS,,,,,,,,,,,,,
MSEN,,,,,,,,,1,1,,,1
NRSC,,,,,,,,,4,4,,,4
PHYS,,51,31,27,37,146,8,8,49,49,,,203
STAT,,,,,,,80,80,16,16,,,96
USSC,,4,1,3,9,17,,,,,,,17
ZOOL,,11,13,9,16,49,,,,,,,49
Subtotal,,254,289,291,433,"1,267",129,129,219,219,,,"1,615"
