Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering       AERO,3,,3,2,8,5,5,33,33,,,46
BMEN,1,,2,5,8,2,2,25,25,,,35
CHEN,2,2,1,13,18,36,36,65,65,,,119
CLEN,,,,,,,,1,1,,,1
CSCE,3,6,10,17,36,125,125,80,80,,,241
CVEN,1,5,6,11,23,134,134,131,131,,,288
ECEN,6,3,13,35,57,233,233,257,257,,,547
ETID,,1,1,14,16,,,,,,,16
ISEN,3,6,17,19,45,122,122,34,34,,,201
MEEN,7,2,6,10,25,84,84,189,189,,,298
MSEN,,,,,,5,5,58,58,,,63
NUEN,,1,1,12,14,6,6,22,22,,,42
PETE,6,8,9,31,54,90,90,101,101,,,245
Subtotal,32,34,69,169,304,842,842,996,996,,,"2,142"
G. Bush School  BUSH,,,,,,36,36,,,,,36
of Govt                Subtotal,,,,,,36,36,,,,,36
Geosciences       ATMO,,1,,,1,5,5,17,17,,,23
CLGE,1,,,2,3,,,,,,,3
GEOG,1,,,1,2,7,7,16,16,,,25
GEPL,4,1,4,12,21,15,15,36,36,,,72
OCNG,,,,,,2,2,22,22,,,24
Subtotal,6,2,4,15,27,29,29,91,91,,,147
Liberal Arts        ANTH,,,,,,2,2,12,12,,,14
CLLA,,,,,,,,,,,,
COMM,,,,,,1,1,6,6,,,7
ECON,2,3,5,12,22,109,109,60,60,,,191
ENGL,,,,,,3,3,19,19,,,22
HISP,1,,,,1,,,12,12,,,13
HIST,,,,,,,,3,3,,,3
INTS,,3,,2,5,,,,,,,5
PHUM,,,,,,,,,,,,
POLS,,1,,1,2,,,9,9,,,11
PRFM,,,,,,1,1,,,,,1
PSYC,,,2,3,5,,,14,14,,,19
SOCI,1,,,1,2,1,1,7,7,,,10
Subtotal,4,7,7,19,37,117,117,142,142,,,296
Science                BIOL,5,1,7,2,15,2,2,42,42,,,59
CHEM,2,2,1,2,7,2,2,124,124,,,133
CLSC,,,,,,,,,,,,
MATH,5,1,3,5,14,4,4,72,72,,,90
PHYS,11,3,,2,16,10,10,83,83,,,109
STAT,,,,,,2,2,42,42,,,44
Subtotal,23,7,11,11,52,20,20,363,363,,,435
