Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Liberal Arts,ANTH,,,,,,,,2,2,,,2,
CLSS,,,,,1,1,,,,,,,1,
COMM,,,,,1,1,1,1,2,2,,,4,
ECON,,,,4,1,5,2,2,1,1,,,8,
ENGL,,,1,,,1,,,1,1,,,2,
HISP,,,,,,,,,2,2,,,2,
HIST,,,,,1,1,,,3,3,,,4,
INTS,,,,,1,1,,,,,,,1,
NRSC,,,,,,,,,,,,,,
PERF,,,,,,,1,1,,,,,1,
PHIL,,,,1,,1,,,1,1,,,2,
POLS,,,,1,3,4,1,1,,,,,5,
SOCI,,,1,,1,2,,,1,1,,,3,
SPAN,,,,,,,,,,,,,,
TCMS,,,,,,,,,,,,,,
THAR,,,,,,,,,,,,,,
USLA,,,,,,,,,,,,,,
WGST,,,,,,,,,,,,,,
Subtotal,,,2,6,9,17,5,5,13,13,,,35,
Science,ANLY,,,,,,,,,,,,,
APHY,,,,,,,,,,,,,,
APMS,,1,,1,,2,,,,,,,2,
BIOL,,,,3,,3,,,,,,,3,
BMCB,,,,,1,1,,,,,,,1,
CHEM,,,,,1,1,,,4,4,,,5,
GENE,,,,,,,,,,,,,,
MATH,,1,,,1,2,1,1,1,1,,,4,
PHYS,,,,1,,1,,,4,4,,,5,
STAT,,,,,,,6,6,,,,,6,
Subtotal,,2,,5,3,10,7,7,9,9,,,26,
Veterinary,BIMS,2,,1,1,4,1,1,1,1,,,6,
Medicine,BIOT,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,10,10,10,
VTMI,,,,,,,,,,,,,,
VTPB,,,,,,,,,1,1,,,1,
Subtotal,,2,,1,1,4,1,1,2,2,10,10,17,
General Studies,GEST,1,1,,,2,,,,,,,2,
TEAM,,,1,,,1,,,,,,,1,
TMEN,,,,,,,,,,,,,,
Subtotal,,1,2,,,3,,,,,,,3,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MDSC,,,,,,,,,,,,,
PHLT,,,,,,,3,3,,,,,3,
Subtotal,,,,,,,3,3,,,,,3,
University,Total,11,7,24,42,84,111,111,56,56,10,10,261,
"Prepared by DARS, 17 Feb 14",,,,,,,,,,,,,,
