Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Architecture,ARCH,,,,,,36,36,11,11,,,47
COMG,,,,,,,12,12,,,,,12
COSC,,2,1,61,201,265,,,,,,,265
COSL,,34,145,75,11,265,,,,,,,265
ENDL,,21,37,44,7,109,,,,,,,109
ENDS,,,,19,80,99,,,,,,,99
LAND,,,1,4,35,40,4,4,,,,,44
LANL,,6,16,12,,34,,,,,,,34
LPDV,,,,,,,6,6,,,,,6
URPL,,,,,,,19,19,,,,,19
URPN,,,12,2,24,38,,,,,,,38
URSC,,,,,,,,,8,8,,,8
USAR,,8,34,24,16,82,,,,,,,82
VISL,,18,41,29,14,102,,,,,,,102
VIST,,,,14,60,74,43,43,,,,,117
Subtotal,,89,287,284,448,"1,108",120,120,19,19,,,"1,247"
Business Admin,ACCT,,9,231,329,569,124,124,10,10,,,703
AGBU,,,,2,3,5,,,,,,,5
BHNR,,,8,46,71,125,,,,,,,125
BUAD,,355,662,131,3,"1,151",27,27,,,,,"1,178"
BUAG,,7,4,3,,14,,,,,,,14
EMBA,,,,,,,50,50,,,,,50
FINC,,,5,182,236,423,89,89,2,2,,,514
INFO,,,,,,,,,,,,,
MGMT,,,2,96,152,250,34,34,11,11,,,295
MISY,,,1,35,83,119,37,37,,,,,156
MKTG,,1,2,114,199,316,21,21,3,3,,,340
MLER,,,,,,,33,33,,,,,33
PMBA,,,,,,,47,47,,,,,47
SCMT,,,,83,149,232,,,,,,,232
USBU,,1,26,56,68,151,,,,,,,151
Subtotal,,364,719,979,"1,293","3,355",462,462,26,26,,,"3,843"
Education,ATTR,,,,,,12,12,,,,,12
BIED,,,,,,,4,4,,,,,4
CPSY,,,,,,,,,13,13,,,13
EDAD,,,,,,,40,40,62,62,,,102
EDCI,,,,,,,167,167,80,80,,,247
EDHL,,98,193,246,108,645,,,,,,,645
EDIS,,91,208,138,16,453,,,,,,,453
EDKI,,67,154,178,101,500,,,,,,,500
EDSM,,31,67,85,30,213,,,,,,,213
EDTC,,,,,,,1,1,,,,,1
EHRD,,,,,,,47,47,26,26,,,73
EPSY,,,,,,,21,21,25,25,,,46
GENE,,,,,,,,,1,1,,,1
HEED,,,,,,,22,22,7,7,,,29
HLTH,,1,,5,248,254,,,,,,,254
HRDL,,8,29,72,15,124,,,,,,,124
HRDV,,,,7,78,85,,,,,,,85
INST,,3,5,121,512,641,,,,,,,641
KINE,,1,,8,200,209,26,26,33,33,,,268
NUTR,,,,,,,2,2,,,,,2
SPED,,,,,,,42,42,,,,,42
SPMT,,,,26,128,154,42,42,,,,,196
SPSY,,,,,,,,,25,25,,,25
TCMG,,,,2,36,38,,,,,,,38
TCML,,7,8,27,16,58,,,,,,,58
TECR,,2,,,,2,,,,,,,2
USEH,,1,10,17,27,55,,,,,,,55
Subtotal,,310,674,932,"1,515","3,431",426,426,272,272,,,"4,129"
