Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,,,2,2,,,2
ENGS,,6,5,4,11,26,,,,,,,26
ENST,,4,7,8,10,29,,,,,,,29
GEOG,,1,7,4,6,18,5,5,3,3,,,26
GEOL,,14,11,4,10,39,7,7,1,1,,,47
GEOP,,9,3,5,3,20,2,2,1,1,,,23
GEOS,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
METL,,1,2,4,1,8,,,,,,,8
METR,,1,,2,12,15,,,,,,,15
OCNG,,,,,,,2,2,1,1,,,3
SPSG,,,,,,,,,,,,,
USGE,,,,1,,1,,,,,,,1
WMHS,,,,,,,5,5,,,,,5
Subtotal,,36,35,32,53,156,21,21,8,8,,,185
Liberal Arts,ANTH,2,13,12,27,54,,,3,3,,,57
CLSS,,,,2,1,3,,,,,,,3
COMM,,15,39,37,41,132,1,1,4,4,,,137
ECON,,24,30,33,51,138,2,2,,,,,140
ENGL,,9,26,33,46,114,,,9,9,,,123
FREN,,,,,1,1,,,,,,,1
GERM,,,,,,,,,,,,,
HISP,,,,,,,,,18,18,,,18
HIST,,11,22,30,33,96,2,2,6,6,,,104
INTS,,16,50,42,60,168,,,,,,,168
MODL,,1,1,1,,3,,,,,,,3
MUSC,,1,2,2,1,6,,,,,,,6
NRSC,,,,,,,,,2,2,,,2
PERF,,,,,,,,,,,,,
PHIL,,2,4,6,7,19,1,1,5,5,,,25
POLS,,21,57,62,54,194,1,1,6,6,,,201
PSYC,,20,68,102,124,314,2,2,13,13,,,329
RUSS,,,,,1,1,,,,,,,1
SOCI,,19,34,36,36,125,3,3,31,31,,,159
SPAN,,,9,10,19,38,,,,,,,38
TCMS,,7,14,14,15,50,,,,,,,50
THAR,,1,3,5,1,10,,,,,,,10
USLA,,,,1,1,2,,,,,,,2
WGST,,,,1,2,3,,,,,,,3
Subtotal,,149,372,429,521,"1,471",12,12,97,97,,,"1,580"
Science,ANLY,,,,,,,,,,,,
APHY,,,,,,,,,2,2,,,2
APMS,,12,9,11,19,51,,,,,,,51
BIOL,,88,73,49,78,288,,,3,3,,,291
BMCB,,2,6,4,9,21,,,,,,,21
CHEM,,13,11,12,19,55,,,14,14,,,69
GENE,,,,,,,,,,,,,
MATH,,41,15,8,19,83,3,3,2,2,,,88
MBIO,,3,2,7,10,22,,,2,2,,,24
MEPS,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,
NRSC,,,,,,,,,1,1,,,1
PHYS,,30,16,8,2,56,2,2,8,8,,,66
STAT,,,,,,,8,8,,,,,8
USSC,,5,,3,1,9,,,,,,,9
ZOOL,,3,2,4,2,11,,,,,,,11
Subtotal,,197,134,106,159,596,13,13,32,32,,,641
