Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Geosciences,ATMO,,,,,,2,2,,,,,2
ENGS,,1,,1,,2,,,,,,,2
ENST,,2,3,1,1,7,,,,,,,7
GEOG,,1,1,,1,3,1,1,,,,,4
GEOL,,2,1,,1,4,2,2,,,,,6
GEOP,,1,,,,1,1,1,,,,,2
GEOS,,,,,,,,,,,,,
MARB,,,,,,,,,,,,,
METL,,1,1,1,,3,,,,,,,3
METR,,,,1,3,4,,,,,,,4
OCNG,,,,,,,,,1,1,,,1
SPSG,,,,,,,,,,,,,
USGE,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,,8,6,4,6,24,6,6,1,1,,,31
Liberal Arts,ANTH,,1,2,1,4,1,1,2,2,,,7
CLSS,,,,,,,,,,,,,
COMM,,1,6,4,11,22,1,1,3,3,,,26
ECON,,2,3,6,13,24,,,1,1,,,25
ENGL,,5,7,4,7,23,,,1,1,,,24
FREN,,,,,,,,,,,,,
GERM,,,,,,,,,,,,,
HISP,,,,,,,,,,,,,
HIST,,2,6,6,4,18,,,,,,,18
INTS,,5,6,3,10,24,,,,,,,24
MODL,,,,1,,1,,,,,,,1
MUSC,,,,,1,1,,,,,,,1
NRSC,,,,,,,,,1,1,,,1
PERF,,,,,,,2,2,,,,,2
PHIL,,,,1,,1,,,,,,,1
POLS,,8,8,1,9,26,,,1,1,,,27
PSYC,,7,11,20,29,67,,,3,3,,,70
RUSS,,,,,,,,,,,,,
SOCI,,5,12,15,12,44,,,17,17,,,61
SPAN,,,,1,,1,,,,,,,1
TCMS,,2,2,4,2,10,,,,,,,10
THAR,,,1,1,,2,,,,,,,2
USLA,,,,,,,,,,,,,
WGST,,1,,,,1,,,,,,,1
Subtotal,,38,63,69,99,269,4,4,29,29,,,302
Science,ANLY,,,,,,2,2,,,,,2
APHY,,,,,,,,,,,,,
APMS,,2,3,,1,6,,,,,,,6
BIOL,,25,9,4,16,54,,,1,1,,,55
BMCB,,,,,1,1,,,,,,,1
CHEM,,4,3,1,4,12,,,3,3,,,15
GENE,,,,,,,,,,,,,
MATH,,7,1,,1,9,1,1,1,1,,,11
MBIO,,,,1,2,3,,,,,,,3
MEPS,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,
NRSC,,,,,,,,,,,,,
PHYS,,1,1,,,2,,,2,2,,,4
STAT,,,,,,,3,3,,,,,3
USSC,,,,1,,1,,,,,,,1
ZOOL,,2,,2,1,5,,,,,,,5
Subtotal,,41,17,9,26,93,6,6,7,7,,,106
