Spring 2014,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering       AERO,4,4,5,12,25,,,1,1,,,26
BMEN,1,9,8,14,32,4,4,8,8,,,44
CHEN,9,7,15,39,70,7,7,1,1,,,78
CLEN,12,6,2,,20,,,4,4,,,24
CSCE,17,24,20,25,86,9,9,4,4,,,99
CVEN,8,7,8,17,40,6,6,6,6,,,52
ECEN,16,19,29,50,114,10,10,6,6,,,130
ETID,1,5,17,21,44,1,1,,,,,45
ISEN,4,7,6,19,36,3,3,2,2,,,41
MEEN,3,7,14,28,52,5,5,8,8,,,65
MSEN,,,,,,2,2,1,1,,,3
NUEN,2,9,4,8,23,,,4,4,,,27
PETE,8,11,9,20,48,17,17,3,3,,,68
Subtotal,85,115,137,253,590,64,64,48,48,,,702
G. Bush School  BUSH,,,,,,11,11,,,,,11
of Govt                Subtotal,,,,,,11,11,,,,,11
Geosciences       ATMO,1,1,,1,3,,,,,,,3
CLGE,,,3,3,6,,,,,,,6
GEOG,,2,,2,4,1,1,1,1,,,6
GEPL,3,7,3,6,19,4,4,1,1,,,24
OCNG,,,,,,,,,,,,
Subtotal,4,10,6,12,32,5,5,2,2,,,39
Liberal Arts        ANTH,,,2,1,3,,,3,3,,,6
CLLA,,,1,1,2,,,,,,,2
COMM,2,4,7,4,17,,,2,2,,,19
ECON,7,5,15,26,53,6,6,1,1,,,60
ENGL,,1,2,7,10,1,1,1,1,,,12
HISP,,,,1,1,,,,,,,1
HIST,,3,1,4,8,,,,,,,8
INTS,5,5,7,6,23,,,,,,,23
PHUM,,,3,2,5,1,1,,,,,6
POLS,1,7,10,9,27,,,,,,,27
PRFM,,1,1,1,3,,,,,,,3
PSYC,2,12,12,25,51,1,1,5,5,,,57
SOCI,,3,4,2,9,,,1,1,,,10
Subtotal,17,41,65,89,212,9,9,13,13,,,234
