Spring 2014,,White Only,American Indian Only,Asian Only,Black Only + 2 or more/1 Black,Hispanic or Latino of any Race,Native Hawaii Only,2 or More/Excluding Black,International,Unknown or Not Reported,Total
Geosciences,ATMO,26,,,2,2,,,21,,51
ENGS,,90,,5,2,26,,6,2,,131
ENST,,78,1,2,7,29,,1,1,,119
GEOG,,101,1,3,4,26,,5,13,1,154
GEOL,,257,,14,6,47,,4,41,1,370
GEOP,,61,,10,2,23,,1,30,1,128
GEOS,,2,,,,,,,1,,3
MARB,,3,,,,,,,,,3
METL,,42,,2,3,8,,3,,,58
METR,,48,,1,4,15,,,1,,69
OCNG,,26,1,,1,3,,1,24,1,57
SPSG,,2,,,,,,,,,2
USGE,,9,,1,,1,,,1,,12
WMHS,,17,,1,,5,,1,12,,36
Subtotal,,762,3,39,31,185,,22,147,4,"1,193"
Liberal Arts,ANTH,193,3,6,7,57,,11,14,2,293
CLSS,,17,,,,3,,,,1,21
COMM,,654,4,15,26,137,1,16,7,4,864
ECON,,468,3,60,25,140,1,20,191,8,916
ENGL,,439,4,12,24,123,1,11,22,2,638
FREN,,3,,,,1,,,,,4
GERM,,1,,,,,,,,,1
HISP,,6,,,,18,,,12,2,38
HIST,,486,1,8,18,104,2,18,3,4,644
INTS,,446,1,23,24,168,2,17,5,1,687
MODL,,8,,,1,3,,2,,,14
MUSC,,19,,1,1,6,,1,,,28
NRSC,,12,,,1,2,,,3,,18
PERF,,4,,,2,,,1,1,1,9
PHIL,,64,,6,1,25,,6,,2,104
POLS,,500,2,27,27,201,,21,11,5,794
PSYC,,811,5,57,70,329,,22,16,,"1,310"
RUSS,,4,,,,1,,,,,5
SOCI,,266,3,10,61,159,,13,10,3,525
SPAN,,21,,1,1,38,,1,1,,63
TCMS,,143,1,4,10,50,,5,,,213
THAR,,29,,2,2,10,,,,,43
USLA,,9,,,,2,,,,,11
WGST,,3,,2,1,3,,,,,9
Subtotal,,"4,606",27,234,302,"1,580",7,165,296,35,"7,252"
Science,ANLY,8,,,2,,,,,,10
APHY,,3,1,,,2,,,1,,7
APMS,,122,,27,6,51,,5,8,2,221
BIOL,,553,5,181,55,291,1,36,47,3,"1,172"
BMCB,,53,,16,1,21,,1,2,1,95
CHEM,,241,,52,15,69,,8,133,5,523
GENE,,1,,,,,,,,,1
MATH,,205,,24,11,88,1,11,82,4,426
MBIO,,59,,7,3,24,,4,8,,105
MEPS,,,,,,,,,1,,1
MSEN,,1,,,,,,1,,,2
NRSC,,4,,,,1,,,1,,6
PHYS,,203,2,20,4,66,,12,108,5,420
STAT,,96,,23,3,8,,1,44,6,181
USSC,,17,,,1,9,,,,,27
ZOOL,,49,1,1,5,11,,2,,,69
Subtotal,,"1,615",9,351,106,641,2,81,435,26,"3,266"
