Demographic Summary by Texas Top 10% Status,,,,,,,,
First-Time In College Students (College Station),,,,,,,,
Spring 2014,,Top 10% Texas High School,,,,Grand Total,,
,,Yes,,No,,#,%,
,,#,%,#,%,,,
Headcount Total,,45,36.3%,79,63.7%,124,100.0%,
Gender,Female,24,39.3%,37,60.7%,61,100.0%,
Male,,21,33.3%,42,66.7%,63,100.0%,
Ethnicity,White Only,27,40.9%,39,59.1%,66,100.0%,
American Indian Only,,,,1,100.0%,1,100.0%,
Asian Only,,1,16.7%,5,83.3%,6,100.0%,
Black Only + 2 or more/1 Black,,3,42.9%,4,57.1%,7,100.0%,
Hispanic or Latino of any Race,,12,48.0%,13,52.0%,25,100.0%,
2 or More/Excluding Black,,1,100.0%,,,1,100.0%,
International,,1,5.6%,17,94.4%,18,100.0%,
TAMU Age,<18,,,1,100.0%,1,100.0%,
Categories,18-21,40,35.7%,72,64.3%,112,100.0%,
22-25,,4,44.4%,5,55.6%,9,100.0%,
26-30,,,,1,100.0%,1,100.0%,
31-39,,1,100.0%,,,1,100.0%,
College,Agriculture,9,42.9%,12,57.1%,21,100.0%,
Architecture,,,,1,100.0%,1,100.0%,
Business Admin,,3,21.4%,11,78.6%,14,100.0%,
Education,,5,50.0%,5,50.0%,10,100.0%,
Engineering,,10,29.4%,24,70.6%,34,100.0%,
Geosciences,,1,50.0%,1,50.0%,2,100.0%,
Liberal Arts,,7,26.9%,19,73.1%,26,100.0%,
Science,,5,55.6%,4,44.4%,9,100.0%,
Veterinary Medicine,,5,71.4%,2,28.6%,7,100.0%,
Enrollment Status,1st Time in College,45,36.3%,79,63.7%,124,100.0%,
Tuition Status,Resident Tuition,42,45.2%,51,54.8%,93,100.0%,
Non-Resident Tuition,,2,6.7%,28,93.3%,30,100.0%,
Tuition Exemption/Waiver,,1,100.0%,,,1,100.0%,
Residency Status,Texas Resident,42,44.7%,52,55.3%,94,100.0%,
"Non-TX, US Resident",,2,22.2%,7,77.8%,9,100.0%,
"Non-TX, Non-US Resident",,1,4.8%,20,95.2%,21,100.0%,
SCH Categories,< 6 SCH,1,100.0%,,,1,100.0%,
6-8 SCH,,,,1,100.0%,1,100.0%,
9-11 SCH,,1,50.0%,1,50.0%,2,100.0%,
12-14 SCH,,30,36.6%,52,63.4%,82,100.0%,
15-17 SCH,,13,36.1%,23,63.9%,36,100.0%,
>17 SCH,,,,2,100.0%,2,100.0%,
Ft/Pt:  TAMU,Less Than Half Time,1,100.0%,,,1,100.0%,
Status,Half-Time,1,14.3%,6,85.7%,7,100.0%,
Full-Time,,43,37.1%,73,62.9%,116,100.0%,
First Generation,No,19,15.3%,43,34.7%,62,50.0%,
Unknown,,4,3.2%,21,16.9%,25,20.2%,
Yes,,22,17.7%,15,12.1%,37,29.8%,
"Prepared by DARS, 18 Feb 14",,,,,,,,
