Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering,AERL,36,26,8,1,71,,,,,,,71
AERO,,1,9,18,35,63,2,2,2,2,,,67
BIOT,,,,,,,2,2,,,,,2
BMEL,,13,9,3,,25,,,,,,,25
BMEN,,1,4,10,24,39,1,1,13,13,,,53
CECL,,19,18,7,1,45,,,,,,,45
CECN,,,3,7,13,23,1,1,1,1,,,25
CEEL,,9,12,2,1,24,,,,,,,24
CEEN,,,1,6,17,24,,,,,,,24
CHEL,,11,21,5,2,39,,,,,,,39
CHEN,,,2,13,35,50,,,2,2,,,52
CPSC,,3,2,9,25,39,2,2,5,5,,,46
CPSL,,17,25,14,7,63,,,,,,,63
CVEL,,27,25,4,,56,,,,,,,56
CVEN,,1,16,37,62,116,8,8,1,1,,,125
ELEL,,32,28,6,,66,,,,,,,66
ELEN,,,10,25,68,103,3,3,10,10,,,116
ENGE,,42,4,2,,48,,,,,,,48
ENGR,,,,,,,,,,,,,
ENSM,,,,,,,,,,,,,
ENTC,,,3,15,57,75,,,,,,,75
ENTL,,3,22,18,9,52,,,,,,,52
ESET,,1,2,4,5,12,,,,,,,12
HLPH,,,,,,,1,1,,,,,1
IDIL,,2,3,2,2,9,,,,,,,9
IDIS,,,2,15,41,58,11,11,,,,,69
INEL,,14,20,14,6,54,,,,,,,54
INEN,,1,7,27,55,90,6,6,1,1,,,97
ITDE,,,,,,,,,,,,,
MEEL,,41,12,4,1,58,,,,,,,58
MEEN,,1,8,37,70,116,16,16,8,8,,,140
MSEN,,,,,,,,,2,2,,,2
NUEL,,5,7,2,2,16,,,,,,,16
NUEN,,1,3,4,17,25,8,8,7,7,,,40
OCEL,,2,3,1,,6,,,,,,,6
OCEN,,,,5,10,15,1,1,,,,,16
PETE,,,5,17,37,59,23,23,2,2,,,84
PETL,,26,15,4,,45,,,,,,,45
RHEL,,1,3,,,4,,,,,,,4
RHEN,,,,4,6,10,,,,,,,10
SENG,,,,,,,2,2,,,,,2
USEN,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,
Subtotal,,310,330,349,609,"1,598",87,87,54,54,,,"1,739"
G. Bush School of,CAIA,,,,,,5,5,,,,,5
Govt,CHLS,,,,,,4,4,,,,,4
CNPM,,,,,,,7,7,,,,,7
INTA,,,,,,,18,18,,,,,18
PSAA,,,,,,,10,10,,,,,10
Subtotal,,,,,,,44,44,,,,,44
