Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Agriculture,AGEC,,,1,,1,,,,,,,1
ALEC,,,,4,1,5,1,1,,,,,6
ANSC,,,,2,4,6,,,,,,,6
BAEN,,,,,,,,,,,,,
BCBP,,,,,,,,,1,1,,,1
CLAG,,,,,,,,,,,,,
ENTO,,,,1,,1,,,,,,,1
ESSM,,,,1,,1,,,,,,,1
HRSC,,,,,,,,,,,,,
NFSC,,,,1,,1,,,,,,,1
PLPM,,,1,,,1,,,,,,,1
POSC,,,,,1,1,,,,,,,1
WFSC,,,,1,,1,,,,,,,1
Subtotal,,,1,11,6,18,1,1,1,1,,,20
Architecture,ARCH,,,,,,,,,,,,
CLAR,,,,,,,,,,,,,
COSC,,,,,1,1,,,,,,,1
LAUP,,,,,,,,,,,,,
VIZA,,,,1,,1,,,,,,,1
Subtotal,,,,1,1,2,,,,,,,2
Business,ACCT,,,,,,,,,,,,
Admin,CLBA,2,3,,,5,1,1,,,,,6
FINC,,,,1,1,2,,,,,,,2
INFO,,,,,,,,,,,,,
MGMT,,,,1,,1,,,,,,,1
MKTG,,,,,,,,,,,,,
Subtotal,,2,3,2,1,8,1,1,,,,,9
Education,CLED,,,,,,,,,,,,
EAHR,,,,1,,1,,,,,,,1
EPSY,,,,,,,,,,,,,
HLKN,,,1,2,3,6,,,,,,,6
TLAC,,,,3,,3,1,1,,,,,4
Subtotal,,,1,6,3,10,1,1,,,,,11
