Spring 2014,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,
Engineering,AERL,3,,1,,4,,,,,,,4
AERO,,,,2,2,4,5,5,33,33,,,42
BIOT,,,,,,,17,17,,,,,17
BMEL,,1,,,,1,,,,,,,1
BMEN,,,,2,5,7,2,2,25,25,,,34
CECL,,2,2,1,,5,,,,,,,5
CECN,,,1,2,3,6,36,36,35,35,,,77
CEEL,,,1,1,2,4,,,,,,,4
CEEN,,,,,3,3,115,115,36,36,,,154
CHEL,,2,1,,,3,,,,,,,3
CHEN,,,1,1,13,15,6,6,65,65,,,86
CPSC,,,,6,13,19,89,89,45,45,,,153
CPSL,,1,3,1,1,6,,,,,,,6
CVEL,,,1,,2,3,,,,,,,3
CVEN,,,3,4,8,15,109,109,105,105,,,229
ELEL,,6,1,5,5,17,,,,,,,17
ELEN,,,1,7,25,33,118,118,221,221,,,372
ENGE,,,,,,,,,,,,,
ENGR,,,,,,,,,1,1,,,1
ENSM,,,,,,,4,4,,,,,4
ENTC,,,,,4,4,,,,,,,4
ENTL,,,,1,4,5,,,,,,,5
ESET,,,,,,,,,,,,,
HLPH,,,,,,,1,1,,,,,1
IDIL,,,,,,,,,,,,,
IDIS,,,1,,6,7,,,,,,,7
INEL,,3,6,5,2,16,,,,,,,16
INEN,,,,12,17,29,117,117,34,34,,,180
ITDE,,,,,,,,,,,,,
MEEL,,7,1,2,,10,,,,,,,10
MEEN,,,1,4,10,15,84,84,189,189,,,288
MSEN,,,,,,,5,5,58,58,,,63
NUEL,,,1,,1,2,,,,,,,2
NUEN,,,,1,10,11,5,5,22,22,,,38
OCEL,,1,1,2,,4,,,,,,,4
OCEN,,,,,1,1,24,24,26,26,,,51
PETE,,,2,9,31,42,90,90,101,101,,,233
PETL,,6,6,,,12,,,,,,,12
RHEL,,,,,,,,,,,,,
RHEN,,,,,1,1,,,,,,,1
SENG,,,,,,,14,14,,,,,14
USEN,,,,,,,,,,,,,
WMHS,,,,,,,1,1,,,,,1
Subtotal,,32,34,69,169,304,842,842,996,996,,,"2,142"
G. Bush School of,CAIA,,,,,,,,,,,,
Govt,CHLS,,,,,,,,,,,,
CNPM,,,,,,,,,,,,,
INTA,,,,,,,13,13,,,,,13
PSAA,,,,,,,23,23,,,,,23
Subtotal,,,,,,,36,36,,,,,36
