Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,1,1,,,1,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,,1,,,1,,,,,,,,1,
,AGBU,,,2,1,,3,,24,24,,,,,27,
,AGCJ,,,1,1,,2,,,,,,,,2,
,AGEC,1,,,,,1,2,21,23,55,55,,,79,
,AGLS,,,,,,,,,,,,,,,
,AGRO,1,,,,,1,,1,1,4,4,,,6,
,AGSC,,,,,,,,,,,,,,,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,,4,4,3,3,,,7,
,ALED,,1,1,2,,4,,,,,,,,4,
,ANBR,,,,,,,,,,1,1,,,1,
,ANSC,1,,,2,,3,1,2,3,1,1,,,7,
,BAEN,,,,1,,1,,17,17,29,29,,,47,
,BESC,,,1,1,,2,,,,,,,,2,
,BICH,1,2,1,2,,6,,18,18,28,28,,,52,
,BIOT,,,,,,,,11,11,,,,,11,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,1,,1,,1,1,12,12,,,14,
,FISC,,,,,,,,,,,,,,,
,FIVL,,,,,,,,,,,,,,,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,3,3,2,2,,,5,
,FSTC,1,,,,,1,,5,5,15,15,,,21,
,GENE,1,,1,1,,3,,2,2,6,6,,,11,
,HORT,,,,1,,1,1,6,7,12,12,,,20,
,MEPS,,,,,,,,,,9,9,,,9,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,1,2,3,,6,,,,,,,,6,
,NUTR,,,,,,,,8,8,11,11,,,19,
,PLBR,,,,,,,,3,3,16,16,,,19,
,PLPA,,,,,,,,5,5,9,9,,,14,
,POSC,,1,,,,1,,2,2,8,8,,,11,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,2,2,2,2,,,4,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,3,3,4,4,,,7,
,RPTS,,,2,,,2,,6,6,18,18,,,26,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,2,2,3,3,,,5,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
