Demographic Summary Galveston Campus,,,,,,,,,,,,
(Not included in University Total Enrollment) Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,Grand Total,
,,G7,G8,G9,U0,U1,U2,U3,U4,U5,,
Head Count Total,,52,15,1,2,539,348,319,475,10,"1,761",
Gender,Female,32,11,,2,186,137,137,193,2,700,
,Male,20,4,1,,353,211,182,282,8,"1,061",
Ethnicity,White Only (NEW),43,8,,1,410,270,247,371,7,"1,357",
,Black Only + 2 or more/1 Black (NEW),,,,,14,12,4,19,2,51,
,Hispanic or Latino of any Race (NEW),3,1,,1,79,51,50,61,1,247,
,Asian Only (NEW),,,,,10,2,4,6,,22,
,Native Hawaii Only (New),1,,,,1,,2,1,,5,
,American Indian Only (NEW),1,,,,2,3,3,6,,15,
,International,2,6,1,,4,4,1,2,,20,
,2 or More/Excluding Black (NEW),2,,,,16,6,6,6,,36,
,Unknown or Not Reported,,,,,3,,2,3,,8,
Academic Major,ANTH,3,,1,,,,,1,,5,
,BIOL,,,,,,,1,3,,4,
,GACD,,,,1,191,43,9,3,1,248,
,GEST,,,,,,1,,,,1,
,MARA,,,,,37,61,67,81,1,247,
,MARB,11,8,,1,150,94,98,147,2,511,
,MARF,,,,,4,2,1,5,,12,
,MARM,31,,,,,,,,,31,
,MARR,,,,,51,34,27,56,1,169,
,MARS,,,,,14,8,9,17,,48,
,MART,,,,,44,40,39,68,5,196,
,MASE,,,,,34,34,31,55,,154,
,MAST,,,,,8,19,17,16,,60,
,MEEN,1,,,,,,,,,1,
,NRDV,1,,,,,,,,,1,
,OCNG,,1,,,,,,,,1,
,OCRE,,,,,6,12,17,19,,54,
,RLEM,,1,,,,,,,,1,
,URPL,1,,,,,,,,,1,
,USGA,,,,,,,2,2,,4,
,WFSC,3,5,,,,,1,,,9,
,WISC,1,,,,,,,,,1,
,ZOOL,,,,,,,,2,,2,
Enrollment Status,Continuing,47,15,1,2,518,313,293,458,5,"1,652",
,1st Time In College,,,,,8,,,,,8,
,1st Time Graduate,5,,,,,,,,,5,
,Readmitted,,,,,1,8,13,10,4,36,
,1st Time Transfer,,,,,12,27,13,7,1,60,
SCH Categories,< 6 SCH,14,2,1,2,,2,6,18,3,48,
,6-8 SCH,8,2,,,2,4,4,36,1,57,
,9-11 SCH,29,11,,,5,12,10,36,,103,
,12-14 SCH,1,,,,219,184,128,182,5,719,
,15-17 SCH,,,,,274,126,142,138,1,681,
,>17 SCH,,,,,39,20,29,65,,153,
TAMU Age Categories,18-21,,,,,523,270,135,47,,975,
,22-25,19,2,,,8,50,156,297,3,535,
,26-30,21,7,,1,3,14,15,88,6,155,
,31-39,7,5,1,,3,10,8,24,1,59,
,40+,5,1,,1,2,4,5,19,,37,
ft/pt: TAMU Status,Full-Time,31,11,,,532,331,299,385,6,"1,595",
,Half-Time,11,2,,,7,15,14,72,1,122,
,Less Than Half-Time,10,2,1,2,,2,6,18,3,44,
Top 10% Texas High School,No,48,14,1,2,510,315,287,431,8,"1,616",
,Yes,4,1,,,29,33,32,44,2,145,
First Generation,No,32,10,,1,362,208,192,270,6,"1,081",
,Unknown,5,3,1,,23,16,16,27,1,92,
,Yes,15,2,,1,154,124,111,178,3,588,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
