Headcount by Department by Ethnic Origin by Gender Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,AGEC,206,476,4,9,26,48,4,6,,,2,,41,67,2,10,,1,285,617,902,
,ALEC,472,374,21,47,49,56,2,2,,,3,6,8,6,3,4,,2,558,497,"1,055",
,ANSC,497,194,6,2,65,34,5,,,1,5,,10,6,6,1,1,,595,238,833,
,BAEN,34,238,4,5,12,28,4,6,,,,2,22,30,2,5,,1,78,315,393,
,BCBP,103,111,11,4,20,24,24,23,,,,1,25,36,4,3,1,2,188,204,392,
,CLAG,21,22,3,6,7,5,,,,,,,,,,,,,31,33,64,
,ENTO,61,51,3,3,26,14,1,2,,,,,8,7,4,2,1,,104,79,183,
,ESSM,50,147,2,1,14,26,,2,,,,2,8,5,1,6,,1,75,190,265,
,HRSC,108,52,,,20,11,1,,,,1,2,12,11,1,,,,143,76,219,
,NFSC,348,61,15,3,67,21,22,13,1,,1,,25,12,8,3,,,487,113,600,
,PLPM,70,69,7,8,46,20,7,10,,,1,1,9,7,4,1,1,1,145,117,262,
,POSC,53,86,5,3,20,15,3,2,,,,,14,10,2,,,,97,116,213,
,RPTS,187,150,10,4,25,20,3,3,,,1,1,19,7,,3,1,,246,188,434,
,SCSC,46,153,3,2,7,13,,6,,,,2,17,20,,2,1,1,74,199,273,
,WFSC,192,187,6,2,61,48,2,1,,,3,1,13,6,3,3,2,,282,248,530,
,Subtotal,"2,448","2,371",100,99,465,383,78,76,1,1,17,18,231,230,40,43,8,9,"3,388","3,230","6,618",
Architecture,ARCH,151,153,1,6,42,56,8,7,,,3,,35,35,4,4,2,,246,261,507,
,CLAR,6,19,,2,6,6,,1,,,,,,1,,1,,,12,30,42,
,COSC,38,448,1,10,18,63,2,5,,,,4,8,15,1,6,,1,68,552,620,
,LAUP,69,120,3,11,22,33,5,3,,,,2,46,43,1,4,,1,146,217,363,
,VIZA,75,96,,4,11,19,3,6,,,1,,7,9,,2,,,97,136,233,
,Subtotal,339,836,5,33,99,177,18,22,,,4,6,96,103,6,17,2,2,569,"1,196","1,765",
Business Admin,ACCT,357,291,15,9,41,25,14,24,1,,,2,14,14,3,3,,1,445,369,814,
,CLBA,668,739,28,26,119,123,34,49,1,3,2,3,11,13,18,13,1,4,882,973,"1,855",
,FINC,185,374,5,5,16,46,10,28,,1,2,1,1,15,6,,1,,226,470,696,
,INFO,113,204,11,9,32,33,14,22,,1,,,24,59,2,5,,,196,333,529,
,MGMT,129,124,10,5,19,9,9,4,,1,1,,2,3,5,1,,,175,147,322,
,MKTG,284,87,11,2,41,14,14,5,,,,,6,6,2,2,,,358,116,474,
,Subtotal,"1,736","1,819",80,56,268,250,95,132,2,6,5,6,58,110,36,24,2,5,"2,282","2,408","4,690",
Education,CLED,3,,,,,,,,,,,,,,,,,,3,,3,
,EAHR,285,214,53,30,75,58,17,16,,,1,1,16,9,5,2,2,2,454,332,786,
,EPSY,280,31,21,5,114,21,12,1,,,,,37,9,6,1,1,1,471,69,540,
,HLKN,953,512,43,31,178,83,33,14,,,6,2,14,24,19,6,1,1,"1,247",673,"1,920",
,TLAC,"1,279",97,69,14,132,22,18,3,1,,4,1,36,20,19,1,1,2,"1,559",160,"1,719",
,Subtotal,"2,800",854,186,80,499,184,80,34,1,,11,4,103,62,49,10,5,6,"3,734","1,234","4,968",
Engineering,AERO,70,443,2,6,20,93,3,23,,,,4,6,51,3,17,,2,104,639,743,
,BMEN,120,177,4,10,30,37,18,36,,,,1,12,26,6,9,,1,190,297,487,
,CHEN,146,350,8,17,35,53,18,45,1,1,,2,43,94,4,9,1,2,256,573,829,
,CLEN,2,5,1,,,1,,,,,,,,2,,,,,3,8,11,
,CSCE,43,426,6,35,13,108,11,46,,1,1,2,46,204,2,13,,3,122,838,960,
,CVEN,173,656,3,22,52,133,11,38,,2,1,,62,210,6,9,1,2,309,"1,072","1,381",
,ECEN,59,453,8,29,15,153,13,91,,4,,2,73,379,4,21,,3,172,"1,135","1,307",
,ETID,92,575,9,21,17,116,6,29,,1,,2,2,12,2,9,,,128,765,893,
,ISEN,78,330,9,24,39,110,5,36,,2,1,1,59,171,3,5,,3,194,682,876,
,MEEN,131,778,5,21,32,145,12,46,1,1,2,5,71,224,2,15,,,256,"1,235","1,491",
,NUEN,58,227,3,8,13,44,3,16,1,,,2,5,42,,6,1,1,84,346,430,
,PETE,79,433,1,17,15,67,8,38,,,,1,55,189,3,10,,6,161,761,922,
,Subtotal,"1,051","4,853",59,210,281,"1,060",108,444,3,12,5,22,434,"1,604",35,123,3,23,"1,979","8,351","10,330",
G. Bush School of Govt,BUSH,85,134,10,6,14,25,4,6,,,,1,10,5,6,3,1,1,130,181,311,
,Subtotal,85,134,10,6,14,25,4,6,,,,1,10,5,6,3,1,1,130,181,311,
Geosciences,ATMO,43,79,1,5,11,12,1,,,,,,5,15,1,1,,,62,112,174,
,CLGE,44,55,,1,8,7,2,1,1,2,1,,,,1,1,,,57,67,124,
,GEOG,79,124,1,6,13,20,4,1,,,,1,8,16,2,1,,1,107,170,277,
,GEPL,63,142,6,3,13,21,2,7,1,,,,27,41,1,1,1,,114,215,329,
,OCNG,27,16,1,,1,2,,3,,,,,17,17,,,,1,46,39,85,
,Subtotal,256,416,9,15,46,62,9,12,2,2,1,1,57,89,5,4,1,2,386,603,989,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
