Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,,1,,,,1,,,,,,,,1,
,AERO,,1,1,3,,5,,2,2,,,,,7,
,BMEL,2,4,3,,,9,,,,,,,,9,
,BMEN,,,,3,,3,,2,2,,,,,5,
,CECL,5,1,2,,,8,,,,,,,,8,
,CECN,,1,1,7,,9,,,,1,1,,,10,
,CEEL,2,2,,,,4,,,,,,,,4,
,CEEN,,1,1,1,,3,,,,,,,,3,
,CHEL,4,,1,,,5,,,,,,,,5,
,CHEN,,1,8,8,1,18,,1,1,,,,,19,
,CPSC,,2,2,3,,7,,2,2,3,3,,,12,
,CPSL,2,6,2,1,,11,,,,,,,,11,
,CVEL,2,1,,,,3,,,,,,,,3,
,CVEN,,2,6,10,,18,,1,1,,,,,19,
,ELEL,2,5,,,,7,,,,,,,,7,
,ELEN,,,3,12,,15,,4,4,4,4,,,23,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,1,4,,5,,,,,,,,5,
,ENTL,1,3,3,1,,8,,,,,,,,8,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,2,1,,,3,,,,,,,,3,
,IDIS,,1,2,11,,14,,,,,,,,14,
,INEL,1,3,,,,4,,,,,,,,4,
,INEN,,3,5,16,,24,,2,2,2,2,,,28,
,ITDE,,,,,,,,,,,,,,,
,MEEL,3,2,1,,,6,,,,,,,,6,
,MEEN,1,1,3,7,,12,,2,2,6,6,,,20,
,MSEN,,,,,,,,,,1,1,,,1,
,NUEL,1,,1,,,2,,,,,,,,2,
,NUEN,,,1,3,,4,,2,2,1,1,,,7,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,1,1,1,,3,,,,,,,,3,
,PETE,,,,6,,6,,4,4,3,3,,,13,
,PETL,3,1,1,,,5,,,,,,,,5,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,1,,1,,,,,,,,1,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,29,45,50,98,1,223,,24,24,22,22,,,269,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,4,,4,,,,,4,
,INTA,,,,,,,,2,2,,,,,2,
,PSAA,,,,,,,,7,7,,,,,7,
,Subtotal,,,,,,,7,9,16,,,,,16,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
