Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,7,7,,,,,7,
,CPSY,,,,,,,,1,1,13,13,,,14,
,EDAD,,,,,,,,5,5,41,41,,,46,
,EDCI,,,,,,,2,23,25,21,21,,,46,
,EDHL,5,19,17,8,,49,,,,,,,,49,
,EDIS,24,34,15,6,,79,,,,,,,,79,
,EDKI,17,22,34,19,,92,,,,,,,,92,
,EDSM,3,6,6,6,,21,,,,,,,,21,
,EDTC,,,,,,,,4,4,,,,,4,
,EHRD,,,,,,,1,9,10,14,14,,,24,
,EPSY,,,,,,,,8,8,16,16,,,24,
,HEED,,,,,,,,3,3,1,1,,,4,
,HLTH,,,3,39,,42,,,,,,,,42,
,HRDL,2,1,8,7,,18,,,,,,,,18,
,HRDV,,,1,17,,18,,,,,,,,18,
,INST,,2,15,83,,100,,,,,,,,100,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,2,23,,25,1,1,2,3,3,,,30,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,4,4,,,,,4,
,SPMT,,,6,14,,20,,3,3,,,,,23,
,SPSY,,,,,,,,1,1,10,10,,,11,
,TCMG,,,3,4,,7,,,,,,,,7,
,TCML,3,,9,8,,20,,,,,,,,20,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,54,84,119,234,,491,4,69,73,119,119,,,683,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
