Headcount by Major by Ethnic Origin Spring 2011,,,,,,,,,,,,
Spring 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Engineering,AERL,177,1,54,10,,3,3,9,,257,
,AERO,335,7,59,16,,1,50,11,2,481,
,BMEL,123,9,35,18,,1,1,7,1,195,
,BMEN,172,5,32,36,,,36,8,,289,
,CECL,68,8,34,7,,1,3,2,,123,
,CECN,92,10,21,14,,1,86,5,,229,
,CEEL,44,4,22,4,,,3,6,1,84,
,CEEN,45,3,10,7,1,,76,1,,143,
,CHEL,148,5,28,15,1,1,2,4,2,206,
,CHEN,344,19,60,48,1,1,115,9,1,598,
,CPSC,177,12,33,21,1,1,155,3,2,405,
,CPSL,132,11,33,15,,,6,5,1,203,
,CVEL,160,3,49,4,,,2,4,1,223,
,CVEN,551,19,112,42,1,1,234,8,2,970,
,ELEL,185,7,59,27,1,1,16,10,1,307,
,ELEN,238,23,77,66,2,1,357,8,1,773,
,ENGR,3,1,1,,,,2,,,7,
,ENSM,9,1,1,1,,,4,,,16,
,ENTC,165,5,37,13,1,,6,6,,233,
,ENTL,80,8,26,8,,,,,,122,
,HLPH,10,1,3,2,,,1,,,17,
,IDIL,96,3,16,2,,1,5,3,,126,
,IDIS,326,14,54,12,,1,3,2,,412,
,INEL,128,4,44,9,,1,15,3,1,205,
,INEN,271,28,104,31,2,1,211,5,2,655,
,ITDE,2,,,,,,,,,2,
,MEEL,238,6,57,10,,,2,8,,321,
,MEEN,661,20,118,45,2,7,248,8,,1109,
,MSEN,15,1,2,3,,,62,1,,84,
,NUEL,46,2,18,3,,1,1,,1,72,
,NUEN,189,7,23,9,,1,44,4,1,278,
,OCEL,26,,4,,,,1,2,,33,
,OCEN,92,3,20,3,1,,35,1,,155,
,PETE,214,13,37,21,,,218,4,5,512,
,PETL,298,5,45,25,,1,26,9,1,410,
,RHEL,13,,6,1,1,,,1,,22,
,RHEN,27,1,7,4,,,,1,,40,
,SENG,2,,,,,,9,,,11,
,USEN,2,,,,,,,,,2,
,,"5,904",269,"1,341",552,15,27,"2,038",158,26,"10,330",
G. Bush School of Govt,CAIA,40,2,6,2,,,,2,1,53,
,CHLS,20,1,5,,,1,,1,1,29,
,CNPM,21,4,2,,,,,,,27,
,INTA,76,2,10,7,,,5,3,,103,
,PSAA,62,7,16,1,,,10,3,,99,
,,219,16,39,10,,1,15,9,2,311,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
