Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,2,2,,,,,2,
,AGBL,3,9,5,1,,18,,,,,,,,18,
,AGBU,,,3,5,,8,,3,3,,,,,11,
,AGCJ,3,4,6,8,,21,,,,,,,,21,
,AGEC,,4,21,16,,41,,3,3,1,1,,,45,
,AGLS,1,2,6,3,,12,,,,,,,,12,
,AGRO,1,1,8,5,,15,,,,,,,,15,
,AGSC,2,2,7,4,,15,,,,,,,,15,
,AGSM,2,4,4,8,,18,,,,,,,,18,
,ALEC,,,,,,,1,3,4,3,3,,,7,
,ALED,2,3,9,31,,45,,,,,,,,45,
,ANBR,,,,,,,,,,,,,,,
,ANSC,19,18,24,29,1,91,,4,4,1,1,,,96,
,BAEN,2,5,5,8,,20,,2,2,,,,,22,
,BESC,1,8,18,29,,56,,,,,,,,56,
,BICH,6,3,5,6,,20,,3,3,3,3,,,26,
,BIOT,,,,,,,,1,1,,,,,1,
,CDEV,,,1,1,,2,,,,,,,,2,
,DASC,,,,,,,,,,,,,,,
,ECOR,,1,3,1,,5,,,,,,,,5,
,ENST,,1,1,1,,3,,,,,,,,3,
,ENTO,1,1,7,7,1,17,,4,4,3,3,,,24,
,FISC,,,,,,,,,,,,,,,
,FIVL,4,4,2,,,10,,,,,,,,10,
,FIVS,,,1,5,,6,,,,,,,,6,
,FLOR,,,1,,,1,,,,,,,,1,
,FORS,,,,2,,2,1,1,2,,,,,4,
,FSTC,1,1,4,16,,22,,,,1,1,,,23,
,GENE,3,1,4,5,,13,,2,2,2,2,,,17,
,HORT,1,6,7,15,,29,,,,1,1,,,30,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,2,2,,,,,2,
,NUSC,6,14,14,29,1,64,,,,,,,,64,
,NUTR,,,,,,,,2,2,,,,,2,
,PLBR,,,,,,,,1,1,2,2,,,3,
,PLPA,,,,,,,,2,2,5,5,,,7,
,POSC,1,3,8,19,,31,,2,2,,,,,33,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,3,3,,,,,3,
,PSSC,,,,,,,,,,,,,,,
,RENR,,3,2,2,,7,,,,,,,,7,
,RLEM,2,2,2,,,6,,2,2,10,10,,,18,
,RPTS,2,4,10,23,,39,,3,3,1,1,,,43,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,1,1,,,,,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
