Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,2,1,,,,3,,,,,,,,3,
,AERO,,,3,4,,7,,14,14,29,29,,,50,
,BMEL,,,1,,,1,,,,,,,,1,
,BMEN,,,2,1,,3,,9,9,24,24,,,36,
,CECL,,1,2,,,3,,,,,,,,3,
,CECN,,2,1,3,,6,1,50,51,29,29,,,86,
,CEEL,2,,1,,,3,,,,,,,,3,
,CEEN,,1,2,5,,8,,44,44,24,24,,,76,
,CHEL,,,2,,,2,,,,,,,,2,
,CHEN,,2,5,22,,29,,24,24,62,62,,,115,
,CPSC,,,4,10,,14,,89,89,52,52,,,155,
,CPSL,1,1,3,1,,6,,,,,,,,6,
,CVEL,2,,,,,2,,,,,,,,2,
,CVEN,,2,8,11,,21,,97,97,116,116,,,234,
,ELEL,6,2,5,3,,16,,,,,,,,16,
,ELEN,,4,7,21,,32,,144,144,181,181,,,357,
,ENGR,,,,,,,,,,2,2,,,2,
,ENSM,,,,,,,,4,4,,,,,4,
,ENTC,,,1,5,,6,,,,,,,,6,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,2,3,,,5,,,,,,,,5,
,IDIS,,,,3,,3,,,,,,,,3,
,INEL,5,4,5,1,,15,,,,,,,,15,
,INEN,1,1,3,15,,20,,141,141,50,50,,,211,
,ITDE,,,,,,,,,,,,,,,
,MEEL,1,1,,,,2,,,,,,,,2,
,MEEN,,,5,11,,16,3,82,85,147,147,,,248,
,MSEN,,,,,,,,13,13,49,49,,,62,
,NUEL,1,,,,,1,,,,,,,,1,
,NUEN,,2,4,6,,12,,16,16,16,16,,,44,
,OCEL,,,1,,,1,,,,,,,,1,
,OCEN,,,,2,,2,,17,17,16,16,,,35,
,PETE,,2,5,17,1,25,,103,103,90,90,,,218,
,PETL,1,2,9,14,,26,,,,,,,,26,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,9,9,,,,,9,
,USEN,,,,,,,,,,,,,,,
,Subtotal,22,30,82,155,1,290,4,857,861,887,887,,,"2,038",
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,5,5,,,,,5,
,PSAA,,,,,,,,10,10,,,,,10,
,Subtotal,,,,,,,,15,15,,,,,15,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
