Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,3,4,,7,,2,2,1,1,,,10,
,ALEC,,,1,2,,3,,,,1,1,,,4,
,ANSC,1,1,1,1,,4,,1,1,,,,,5,
,BAEN,,,2,7,,9,,,,1,1,,,10,
,BCBP,13,7,11,13,1,45,,2,2,,,,,47,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,3,,,,3,,,,,,,,3,
,ESSM,,,1,,,1,,1,1,,,,,2,
,HRSC,,,,,,,,1,1,,,,,1,
,NFSC,2,5,8,16,,31,,3,3,1,1,,,35,
,PLPM,,3,6,8,,17,,,,,,,,17,
,POSC,,,,1,,1,,4,4,,,,,5,
,RPTS,,2,2,2,,6,,,,,,,,6,
,SCSC,,1,1,1,,3,,,,3,3,,,6,
,WFSC,,,,2,,2,,1,1,,,,,3,
,Subtotal,16,22,36,57,1,132,,15,15,7,7,,,154,
Architecture,ARCH,,2,3,3,,8,,4,4,3,3,,,15,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,1,1,4,,6,,1,1,,,,,7,
,LAUP,,,,5,,5,,,,3,3,,,8,
,VIZA,2,1,,2,,5,,4,4,,,,,9,
,Subtotal,2,4,4,15,,25,,9,9,6,6,,,40,
Business Admin,ACCT,,,5,26,,31,,5,5,2,2,,,38,
,CLBA,23,27,15,4,,69,,14,14,,,,,83,
,FINC,,,10,17,,27,,9,9,2,2,,,38,
,INFO,,,13,20,,33,,3,3,,,,,36,
,MGMT,,,3,7,,10,,,,3,3,,,13,
,MKTG,,,4,13,,17,,2,2,,,,,19,
,Subtotal,23,27,50,87,,187,,33,33,7,7,,,227,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,2,1,4,13,,20,,3,3,10,10,,,33,
,EPSY,,1,,1,,2,,4,4,7,7,,,13,
,HLKN,5,9,10,14,,38,,4,4,5,5,,,47,
,TLAC,,1,2,12,,15,,3,3,3,3,,,21,
,Subtotal,7,12,16,40,,75,,14,14,25,25,,,114,
Engineering,AERO,7,7,3,6,,23,,1,1,2,2,,,26,
,BMEN,7,11,10,17,,45,1,5,6,3,3,,,54,
,CHEN,9,6,17,29,,61,,2,2,,,,,63,
,CLEN,,,,,,,,,,,,,,,
,CSCE,11,10,6,16,,43,,8,8,6,6,,,57,
,CVEN,4,5,5,21,,35,,6,6,8,8,,,49,
,ECEN,13,11,20,41,,85,,11,11,8,8,,,104,
,ETID,1,2,5,27,,35,,,,,,,,35,
,ISEN,2,6,12,16,,36,,4,4,1,1,,,41,
,MEEN,5,6,7,22,,40,,12,12,6,6,,,58,
,NUEN,1,2,3,8,,14,,4,4,1,1,,,19,
,PETE,7,7,7,15,,36,,9,9,1,1,,,46,
,Subtotal,67,73,95,218,,453,1,62,63,36,36,,,552,
G. Bush School of Govt,BUSH,,,,,,,2,8,10,,,,,10,
,Subtotal,,,,,,,2,8,10,,,,,10,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
