Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,25,25,8,8,,,33,
,ENGS,9,21,24,42,,96,,,,,,,,96,
,ENST,4,11,33,30,1,79,,,,,,,,79,
,GEOG,2,9,25,40,,76,1,14,15,16,16,,,107,
,GEOL,18,7,28,64,1,118,,39,39,9,9,,,166,
,GEOP,4,3,7,9,3,26,,7,7,2,2,,,35,
,GEOS,,,,,,,,2,2,,,,,2,
,MARB,,,,,,,,1,1,,,,,1,
,METR,19,19,15,34,2,89,,,,,,,,89,
,OCNG,,,,,,,,20,20,22,22,,,42,
,SPSG,1,,,1,,2,,,,,,,,2,
,USGE,,,,3,,3,,,,,,,,3,
,WMHS,,,,,,,,13,13,4,4,,,17,
,Subtotal,57,70,132,223,7,489,1,121,122,61,61,,,672,
Liberal Arts,AMST,3,1,1,4,,9,,,,,,,,9,
,ANTH,6,28,34,57,,125,2,45,47,41,41,,,213,
,CLSS,1,3,2,8,,14,,,,,,,,14,
,COMM,34,129,171,252,1,587,1,8,9,25,25,,,621,
,ECON,28,52,102,171,1,354,,6,6,8,8,,,368,
,ENGL,39,103,137,231,,510,1,12,13,44,44,,,567,
,FREN,1,4,4,6,,15,,,,,,,,15,
,GERM,1,,1,,1,3,,,,,,,,3,
,HISP,,,,,,,,,,8,8,,,8,
,HIST,42,99,168,238,2,549,,10,10,40,40,,,599,
,INTS,45,106,109,145,3,408,,,,,,,,408,
,MODL,,,,,,,,5,5,,,,,5,
,MUSC,,3,4,9,,16,,,,,,,,16,
,NRSC,,,,,,,,,,1,1,,,1,
,NUTR,,,,,,,,1,1,,,,,1,
,PERF,,,,,,,,5,5,,,,,5,
,PHIL,8,8,17,22,1,56,,11,11,7,7,,,74,
,POLS,51,101,157,209,2,520,,4,4,22,22,,,546,
,PSYC,57,174,250,355,2,838,1,23,24,39,39,,,901,
,RUSS,,2,2,5,,9,,,,,,,,9,
,SOCI,13,36,95,114,1,259,1,6,7,21,21,,,287,
,SPAN,2,7,13,22,,44,,,,,,,,44,
,TCMS,16,23,31,41,,111,,,,,,,,111,
,THAR,2,5,9,11,,27,,,,,,,,27,
,USLA,,,1,7,,8,,,,,,,,8,
,WGST,,,2,3,,5,,,,,,,,5,
,Subtotal,349,884,"1,310","1,910",14,"4,467",6,136,142,256,256,,,"4,865",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
