Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,1,,1,,2,,,,,,,,2,
,CLGE,,1,1,,,2,,,,,,,,2,
,GEOG,,1,,1,,2,,,,1,1,,,3,
,GEPL,,,2,,,2,,,,,,,,2,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,,3,3,2,,8,,,,1,1,,,9,
Liberal Arts,ANTH,2,,,1,,3,,1,1,1,1,,,5,
,CLLA,2,2,,7,,11,,,,,,,,11,
,COMM,,4,14,2,,20,,,,,,,,20,
,ECON,2,,3,6,,11,,,,,,,,11,
,ENGL,,2,4,5,,11,1,1,2,1,1,,,14,
,EURO,,,,,,,,,,,,,,,
,HISP,,1,,,,1,,,,,,,,1,
,HIST,1,4,3,7,,15,,,,1,1,,,16,
,PHUM,,1,,,,1,,,,,,,,1,
,POLS,5,,1,4,,10,,,,,,,,10,
,PRFM,,,1,,,1,,,,,,,,1,
,PSYC,4,2,4,9,1,20,,,,,,,,20,
,SOCI,,,,4,,4,,1,1,1,1,,,6,
,Subtotal,16,16,30,45,1,108,1,3,4,4,4,,,116,
Science,BIOL,8,6,12,13,,39,,1,1,,,,,40,
,CHEM,2,1,1,2,,6,,,,1,1,,,7,
,CLSC,,,,,,,,,,,,,,,
,MATH,2,1,5,2,,10,,,,1,1,,,11,
,PHYS,,,1,2,,3,,,,3,3,,,6,
,STAT,,,,,,,,1,1,,,,,1,
,Subtotal,12,8,19,19,,58,,2,2,5,5,,,65,
Veterinary Medicine,CLVM,13,4,6,2,,25,,1,1,,,1,1,27,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,13,4,6,2,,25,,1,1,,,1,1,27,
General Studies,GEST,45,29,3,,,77,,,,,,,,77,
,Subtotal,45,29,3,,,77,,,,,,,,77,
Other - Special Populations,CLMD,,,,,,,1,,1,,,,,1,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
University,Total,155,131,139,186,3,614,5,42,47,25,25,1,1,687,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
