Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,89,70,17,1,,177,,,,,,,,177,
,AERO,,33,55,170,,258,,43,43,34,34,,,335,
,BMEL,58,59,6,,,123,,,,,,,,123,
,BMEN,,14,32,93,1,140,,15,15,17,17,,,172,
,CECL,33,22,11,1,1,68,,,,,,,,68,
,CECN,1,12,18,52,,83,,5,5,4,4,,,92,
,CEEL,28,13,2,1,,44,,,,,,,,44,
,CEEN,,8,9,23,,40,,3,3,2,2,,,45,
,CHEL,56,69,19,4,,148,,,,,,,,148,
,CHEN,,26,70,228,,324,,8,8,12,12,,,344,
,CPSC,,8,21,90,,119,,31,31,27,27,,,177,
,CPSL,49,42,31,10,,132,,,,,,,,132,
,CVEL,100,55,3,2,,160,,,,,,,,160,
,CVEN,,82,110,262,2,456,1,74,75,20,20,,,551,
,ELEL,76,77,25,7,,185,,,,,,,,185,
,ELEN,,26,38,114,2,180,,32,32,26,26,,,238,
,ENGR,,,,,,,,,,3,3,,,3,
,ENSM,,,,,,,,9,9,,,,,9,
,ENTC,,2,18,145,,165,,,,,,,,165,
,ENTL,8,20,42,9,1,80,,,,,,,,80,
,HLPH,,,,,,,,10,10,,,,,10,
,IDIL,9,40,42,4,1,96,,,,,,,,96,
,IDIS,,16,80,209,1,306,,20,20,,,,,326,
,INEL,31,43,42,12,,128,,,,,,,,128,
,INEN,,30,79,139,1,249,,16,16,6,6,,,271,
,ITDE,,,,,,,,,,2,2,,,2,
,MEEL,140,83,12,2,1,238,,,,,,,,238,
,MEEN,,79,147,345,1,572,2,58,60,29,29,,,661,
,MSEN,,,,,,,,3,3,12,12,,,15,
,NUEL,24,16,6,,,46,,,,,,,,46,
,NUEN,1,19,30,76,,126,,35,35,28,28,,,189,
,OCEL,12,8,3,3,,26,,,,,,,,26,
,OCEN,,7,22,49,,78,,14,14,,,,,92,
,PETE,,7,13,140,2,162,,46,46,6,6,,,214,
,PETL,64,83,80,67,4,298,,,,,,,,298,
,RHEL,6,6,,1,,13,,,,,,,,13,
,RHEN,,2,10,15,,27,,,,,,,,27,
,SENG,,,,,,,1,1,2,,,,,2,
,USEN,,,,2,,2,,,,,,,,2,
,Subtotal,785,"1,077","1,093","2,276",18,"5,249",4,423,427,228,228,,,"5,904",
G. Bush School of Govt,CAIA,,,,,,,40,,40,,,,,40,
,CHLS,,,,,,,20,,20,,,,,20,
,CNPM,,,,,,,21,,21,,,,,21,
,INTA,,,,,,,,76,76,,,,,76,
,PSAA,,,,,,,,62,62,,,,,62,
,Subtotal,,,,,,,81,138,219,,,,,219,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
