Demographic Summary by Classification Graduate Students,,,,,,,
Spring 2011,,,,,,,
Spring 2011,,G6: PB Non-Degree,G7: Masters,G8: Doctoral,G9: GR Conditional,Grand Total,
Head Count,Total,289,"4,663","3,951",53,"8,956",
Gender,Female,133,"1,918","1,567",21,"3,639",
,Male,156,"2,745","2,384",32,"5,317",
Ethnicity,White Only (NEW),193,"2,396","1,384",19,"3,992",
,Black Only + 2 or more/1 Black (NEW),16,136,226,,378,
,Hispanic or Latino of any Race (NEW),25,397,309,2,733,
,Asian Only (NEW),14,178,110,2,304,
,Native Hawaii Only (New),,1,4,,5,
,American Indian Only (NEW),2,9,11,,22,
,International,26,"1,482","1,860",25,"3,393",
,2 or More/Excluding Black (NEW),5,41,25,1,72,
,Unknown or Not Reported,8,23,22,4,57,
TAMU Age Categories,18-21,1,14,1,,16,
,22-25,99,"2,439",321,21,"2,880",
,26-30,52,"1,462","1,679",16,"3,209",
,31-39,65,527,"1,418",13,"2,023",
,40+,72,221,532,3,828,
College,Agriculture,27,706,615,5,"1,353",
,Architecture,7,322,104,2,435,
,Business Admin,2,648,61,,711,
,Education,49,556,696,1,"1,302",
,Engineering,9,"1,476","1,218",12,"2,715",
,G. Bush School of Govt,109,200,,2,311,
,Geosciences,3,174,161,,338,
,Liberal Arts,9,237,501,9,756,
,Science,44,277,522,20,863,
,Veterinary Medicine,3,60,73,2,138,
,Other - Special Populations,27,7,,,34,
Enrollment Status,1st Time PB,116,3,,,119,
,1st Time Graduate,,373,573,6,952,
,Readmitted,,15,9,,24,
,Continuing,173,"4,272","3,369",47,"7,861",
Tuition Status,Resident Tuition,218,"2,442","1,354",17,"4,031",
,Non-Resident Tuition,30,773,394,8,"1,205",
,Tuition Exemption/Waiver,41,"1,448","2,203",28,"3,720",
Residency Status,Texas Resident,254,"2,555","1,427",21,"4,257",
,"Non-TX, US Resident",11,627,656,7,"1,301",
,"Non-TX, Non-US Resident",24,"1,481","1,868",25,"3,398",
SCH Categories,< 6 SCH,138,585,679,5,"1,407",
,6-8 SCH,83,573,181,9,846,
,9-11 SCH,44,"2,679","2,981",33,"5,737",
,12-14 SCH,18,672,88,5,783,
,15-17 SCH,5,90,20,1,116,
,>17 SCH,1,64,2,,67,
Ft/Pt:  TAMU Status,Less Than Half Time,133,382,494,3,"1,012",
,Half-Time,91,711,352,11,"1,165",
,Full-Time,65,"3,570","3,105",39,"6,779",
"Prepared by OISP, 29 Mar 11",,,,,,,
