College G. Bush School of Govt,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,,,311,100.0%,,,,,311,100.0%,
,Female,,,130,41.8%,,,,,130,41.8%,
,Male,,,181,58.2%,,,,,181,58.2%,
Ethnicity,White Only (NEW),,,219,70.4%,,,,,219,70.4%,
,Black Only + 2 or more/1 Black (NEW),,,16,5.1%,,,,,16,5.1%,
,Hispanic or Latino of any Race (NEW),,,39,12.5%,,,,,39,12.5%,
,Asian Only (NEW),,,10,3.2%,,,,,10,3.2%,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),,,1,.3%,,,,,1,.3%,
,International,,,15,4.8%,,,,,15,4.8%,
,2 or More/Excluding Black (NEW),,,9,2.9%,,,,,9,2.9%,
,Unknown or Not Reported,,,2,.6%,,,,,2,.6%,
,Total,,,311,100.0%,,,,,311,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,,,1,.3%,,,,,1,.3%,
,22-25,,,143,46.0%,,,,,143,46.0%,
,26-30,,,82,26.4%,,,,,82,26.4%,
,31-39,,,48,15.4%,,,,,48,15.4%,
,40+,,,37,11.9%,,,,,37,11.9%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,48,15.4%,,,,,48,15.4%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,263,84.6%,,,,,263,84.6%,
Tuition Status,Resident Tuition,,,198,63.7%,,,,,198,63.7%,
,Non-Resident Tuition,,,10,3.2%,,,,,10,3.2%,
,Tuition Exemption/Waiver,,,103,33.1%,,,,,103,33.1%,
Residency Status,Texas Resident,,,238,76.5%,,,,,238,76.5%,
,"Non-TX, US Resident",,,58,18.6%,,,,,58,18.6%,
,"Non-TX, Non-US Resident",,,15,4.8%,,,,,15,4.8%,
SCH Categories,< 6 SCH,,,43,13.8%,,,,,43,13.8%,
,6-8 SCH,,,54,17.4%,,,,,54,17.4%,
,9-11 SCH,,,34,10.9%,,,,,34,10.9%,
,12-14 SCH,,,167,53.7%,,,,,167,53.7%,
,15-17 SCH,,,12,3.9%,,,,,12,3.9%,
,>17 SCH,,,1,.3%,,,,,1,.3%,
Ft/Pt: TAMU Status,Less Than Half Time,,,42,13.5%,,,,,42,13.5%,
,Half-Time,,,56,18.0%,,,,,56,18.0%,
,Full-Time,,,213,68.5%,,,,,213,68.5%,
Top 10% Texas High School,No,,,293,94.2%,,,,,293,94.2%,
,Yes,,,18,5.8%,,,,,18,5.8%,
First Generation,No,,,213,68.5%,,,,,213,68.5%,
,Unknown,,,12,3.9%,,,,,12,3.9%,
,Yes,,,86,27.7%,,,,,86,27.7%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
