Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,1,,3,,,4,,,,,,,,4,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,,1,3,,4,,,,,,,,4,
,AGEC,,,3,4,,7,,,,2,2,,,9,
,AGLS,,3,5,1,,9,,,,,,,,9,
,AGRO,,,,1,,1,1,,1,,,,,2,
,AGSC,,,1,,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,,2,2,8,8,,,10,
,ALED,,4,16,22,,42,,,,,,,,42,
,ANBR,,,,,,,,,,,,,,,
,ANSC,,1,2,2,,5,,1,1,1,1,,,7,
,BAEN,,1,1,2,,4,,,,4,4,,,8,
,BESC,,1,5,8,,14,,,,,,,,14,
,BICH,3,1,3,2,,9,,3,3,,,,,12,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,1,,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,1,1,,,2,,,,1,1,,,3,
,FISC,,,,,,,,1,1,,,,,1,
,FIVL,,1,,1,,2,,,,,,,,2,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,1,1,,,1,
,FSTC,,,3,3,,6,,1,1,,,,,7,
,GENE,,2,,1,,3,,,,,,,,3,
,HORT,,,,,,,,,,,,,,,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,,,,,,,,
,NUSC,2,2,2,3,,9,,,,,,,,9,
,NUTR,,,,,,,,,,2,2,,,2,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,1,1,,,1,
,POSC,,,3,3,,6,,,,2,2,,,8,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,1,1,,,1,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,1,,1,,,,,,,,1,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,2,4,3,,9,,,,3,3,,,12,
,RRDV,,,,,,,1,,1,,,,,1,
,SOSC,,,,,,,,,,1,1,,,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
