Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,1,1,,,,,1,
,ENGS,1,3,2,8,,14,,,,,,,,14,
,ENST,2,5,6,7,,20,,,,,,,,20,
,GEOG,1,2,2,4,,9,,3,3,1,1,,,13,
,GEOL,4,3,6,9,,22,,3,3,1,1,,,26,
,GEOP,3,1,1,2,,7,,1,1,,,,,8,
,GEOS,,,,,,,,1,1,,,,,1,
,MARB,,,,,,,,,,,,,,,
,METR,4,4,4,9,1,22,,,,,,,,22,
,OCNG,,,,,,,,2,2,,,,,2,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,1,,1,,,,,,,,1,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,15,18,21,40,1,95,,11,11,2,2,,,108,
Liberal Arts,AMST,1,2,,,,3,,,,,,,,3,
,ANTH,7,8,11,9,,35,,3,3,3,3,,,41,
,CLSS,,1,1,1,,3,,,,,,,,3,
,COMM,8,25,31,29,,93,,1,1,6,6,,,100,
,ECON,2,15,17,39,,73,,1,1,,,,,74,
,ENGL,11,25,35,44,,115,,,,11,11,,,126,
,FREN,,2,,,,2,,,,,,,,2,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,5,5,11,11,,,16,
,HIST,7,17,24,45,,93,,2,2,5,5,,,100,
,INTS,7,34,38,73,1,153,,,,,,,,153,
,MODL,,,,,,,1,3,4,,,,,4,
,MUSC,2,,1,4,,7,,,,,,,,7,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,1,1,4,5,,11,,2,2,2,2,,,15,
,POLS,12,24,26,48,1,111,,,,3,3,,,114,
,PSYC,22,37,98,111,,268,,3,3,11,11,,,282,
,RUSS,,1,,,,1,,,,,,,,1,
,SOCI,4,10,42,41,,97,,13,13,20,20,,,130,
,SPAN,1,7,9,24,,41,,,,,,,,41,
,TCMS,2,5,4,5,,16,,,,,,,,16,
,THAR,2,3,,8,,13,,,,,,,,13,
,USLA,,,1,,,1,,,,,,,,1,
,WGST,,1,4,3,,8,,,,,,,,8,
,Subtotal,89,218,346,489,2,"1,144",1,34,35,72,72,,,"1,251",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
