Headcount by Major by Ethnic Origin Spring 2011,,,,,,,,,,,,
Spring 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Geosciences,ATMO,33,,1,,,,20,,,54,
,ENGS,96,1,14,3,3,1,,2,,120,
,ENST,79,4,20,3,,,1,2,,109,
,GEOG,107,3,13,2,,1,17,1,1,145,
,GEOL,166,7,26,6,,,32,2,1,240,
,GEOP,35,2,8,3,1,,30,,,79,
,GEOS,2,,1,,,,2,,,5,
,MARB,1,,,,,,2,,,3,
,METR,89,6,22,1,,,,2,,120,
,OCNG,42,1,2,3,,,32,,1,81,
,SPSG,2,,,,,,,,,2,
,USGE,3,,1,,,,,,,4,
,WMHS,17,,,,,,10,,,27,
,,672,24,108,21,4,2,146,9,3,989,
Liberal Arts,AMST,9,1,3,,,,,,,13,
,ANTH,213,9,41,6,,1,14,5,1,290,
,CLSS,14,,3,,,,,,,17,
,COMM,621,34,100,13,1,5,13,17,1,805,
,ECON,368,10,74,35,3,2,95,11,2,600,
,ENGL,567,23,126,16,1,5,26,14,1,779,
,FREN,15,1,2,3,,,,,,21,
,GERM,3,,,,,,1,,,4,
,HISP,8,,16,,,,7,,,31,
,HIST,599,22,100,7,,2,6,16,4,756,
,INTS,408,16,153,14,2,1,7,11,1,613,
,MODL,5,1,4,,,,1,,,11,
,MUSC,16,1,7,2,,,,,1,27,
,NRSC,1,,1,1,,,1,,,4,
,NUTR,1,,,,,,,,,1,
,PERF,5,,,,,,1,,,6,
,PHIL,74,3,15,6,,2,2,1,2,105,
,POLS,546,41,114,31,,2,12,10,5,761,
,PSYC,901,69,282,73,,4,12,20,5,1366,
,RUSS,9,1,1,,,,,,,11,
,SOCI,287,60,130,15,1,4,11,6,2,516,
,SPAN,44,,41,1,,,,1,1,88,
,TCMS,111,8,16,9,1,,1,3,,149,
,THAR,27,1,13,2,,,,1,,44,
,USLA,8,1,1,,,,,,,10,
,WGST,5,1,8,,,,,,,14,
,,"4,865",303,"1,251",234,9,28,210,116,26,"7,042",
Science,APHY,4,,2,,,1,,1,,8,
,APMS,75,6,12,9,,,5,3,1,111,
,BIOL,684,51,262,179,2,7,38,31,,1254,
,BMCB,58,1,25,11,,,3,5,,103,
,BOTN,2,,1,,,,,,,3,
,CHEM,237,14,56,32,,2,138,7,2,488,
,GENE,2,,,,,,1,,,3,
,MATH,205,6,45,14,,1,75,8,1,355,
,MBIO,52,4,16,8,,1,9,2,,92,
,MEPS,,,,1,,,1,,,2,
,MSEN,,,,,,,1,,,1,
,PHYS,146,6,36,9,1,,88,5,1,292,
,STAT,79,5,5,23,,1,57,1,3,174,
,USSC,14,2,2,,,,,,,18,
,ZOOL,89,2,8,1,,,1,2,,103,
,,"1,647",97,470,287,3,13,417,65,8,"3,007",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
