Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,1,2,,,,3,,,,,,,,3,
,ENST,,2,,1,,3,,,,,,,,3,
,GEOG,,,,,,,,,,2,2,,,2,
,GEOL,,1,2,1,,4,,2,2,,,,,6,
,GEOP,,,2,,,2,,1,1,,,,,3,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,1,,,,,1,,,,,,,,1,
,OCNG,,,,,,,,1,1,2,2,,,3,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,2,5,4,2,,13,,4,4,4,4,,,21,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,1,1,1,,3,,1,1,2,2,,,6,
,CLSS,,,,,,,,,,,,,,,
,COMM,1,4,5,3,,13,,,,,,,,13,
,ECON,1,7,12,14,,34,1,,1,,,,,35,
,ENGL,1,2,5,8,,16,,,,,,,,16,
,FREN,,,2,1,,3,,,,,,,,3,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,1,2,2,1,1,7,,,,,,,,7,
,INTS,2,6,3,3,,14,,,,,,,,14,
,MODL,,,,,,,,,,,,,,,
,MUSC,1,,,1,,2,,,,,,,,2,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,2,1,2,1,,6,,,,,,,,6,
,POLS,3,8,5,12,1,29,,,,2,2,,,31,
,PSYC,7,8,23,28,,66,,3,3,4,4,,,73,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,6,4,,11,,1,1,3,3,,,15,
,SPAN,,,1,,,1,,,,,,,,1,
,TCMS,1,2,3,3,,9,,,,,,,,9,
,THAR,,,,2,,2,,,,,,,,2,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,20,42,70,82,2,216,1,6,7,11,11,,,234,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
