Top 10,,,,,,,,,
Spring 2011 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,42428,,,,91.4%,,
"China, People's Rep of",,,1015,,,,2.2%,,
India,,,771,,,,1.7%,,
"Korea, Republic of",,,482,,,,1.0%,,
Taiwan,,,205,,,,0.4%,,
Iran,,,129,,,,0.3%,,
Mexico,,,121,,,,0.3%,,
Turkey,,,107,,,,0.2%,,
Saudi Arabia,,,65,,,,0.1%,,
Colombia,,,52,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,7666,,,16.5%,,,,
Brazos,,2589,,,5.6%,,,,
Tarrant,,2321,,,5.0%,,,,
Bexar,,2277,,,4.9%,,,,
Dallas,,2267,,,4.9%,,,,
Fort Bend,,2077,,,4.5%,,,,
Collin,,1505,,,3.2%,,,,
Montgomery,,1475,,,3.2%,,,,
Travis,,1440,,,3.1%,,,,
Williamson,,948,,,2.0%,,,,
State,Students  % Total,,,,,,,,
Texas,40008,,,86.2%,,,,,
California,252,,,0.5%,,,,,
Louisiana,156,,,0.3%,,,,,
Florida,116,,,0.2%,,,,,
Illinois,115,,,0.2%,,,,,
Colorado,108,,,0.2%,,,,,
New York,90,,,0.2%,,,,,
Oklahoma,89,,,0.2%,,,,,
Virginia,85,,,0.2%,,,,,
Missouri,75,,,0.2%,,,,,
