Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,7,3,,,,10,,,,,,,,10,
,AERO,,4,3,6,,13,,1,1,2,2,,,16,
,BMEL,7,9,2,,,18,,,,,,,,18,
,BMEN,,2,8,17,,27,1,5,6,3,3,,,36,
,CECL,4,1,1,1,,7,,,,,,,,7,
,CECN,,1,2,7,,10,,2,2,2,2,,,14,
,CEEL,2,,2,,,4,,,,,,,,4,
,CEEN,,,,5,,5,,2,2,,,,,7,
,CHEL,9,3,3,,,15,,,,,,,,15,
,CHEN,,3,14,29,,46,,2,2,,,,,48,
,CPSC,,1,2,8,,11,,6,6,4,4,,,21,
,CPSL,7,7,1,,,15,,,,,,,,15,
,CVEL,3,1,,,,4,,,,,,,,4,
,CVEN,1,4,5,19,,29,,6,6,7,7,,,42,
,ELEL,11,9,6,1,,27,,,,,,,,27,
,ELEN,,2,12,35,,49,,9,9,8,8,,,66,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,1,12,,13,,,,,,,,13,
,ENTL,1,1,3,3,,8,,,,,,,,8,
,HLPH,,,,,,,,2,2,,,,,2,
,IDIL,,1,1,,,2,,,,,,,,2,
,IDIS,,,,12,,12,,,,,,,,12,
,INEL,2,2,4,1,,9,,,,,,,,9,
,INEN,,4,8,15,,27,,3,3,1,1,,,31,
,ITDE,,,,,,,,,,,,,,,
,MEEL,5,3,,2,,10,,,,,,,,10,
,MEEN,,3,7,20,,30,,9,9,6,6,,,45,
,MSEN,,,,,,,,3,3,,,,,3,
,NUEL,,2,1,,,3,,,,,,,,3,
,NUEN,,,1,5,,6,,2,2,1,1,,,9,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,2,,2,,,,1,1,,,3,
,PETE,,2,1,8,,11,,9,9,1,1,,,21,
,PETL,7,5,6,7,,25,,,,,,,,25,
,RHEL,1,,,,,1,,,,,,,,1,
,RHEN,,,1,3,,4,,,,,,,,4,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,67,73,95,218,,453,1,62,63,36,36,,,552,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,7,7,,,,,7,
,PSAA,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,2,8,10,,,,,10,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
