Headcount by Major by Ethnic Origin Spring 2011,,,,,,,,,,,,
Spring 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Agriculture,ABME,,,,,,,1,,,1,
,ADEV,23,,2,,,,,,,25,
,AGBL,122,4,18,1,,,1,2,1,149,
,AGBU,138,,11,6,,,27,3,,185,
,AGCJ,169,4,21,2,,3,2,3,,204,
,AGEC,421,9,45,3,,2,79,7,,566,
,AGLS,40,9,12,,,,,,,61,
,AGRO,142,2,15,3,,2,6,1,,171,
,AGSC,104,1,15,,,1,,1,,122,
,AGSM,126,1,18,,,1,1,,,147,
,ALEC,107,10,7,1,,,7,,1,133,
,ALED,328,42,45,,,5,4,1,1,426,
,ANBR,8,,,,,,1,,,9,
,ANSC,666,7,96,4,,5,7,7,1,793,
,BAEN,144,8,22,10,,1,47,7,1,240,
,BESC,115,14,56,17,,2,2,4,,210,
,BICH,134,12,26,41,,1,52,4,2,272,
,BIOT,4,,1,3,,,11,,,19,
,CDEV,23,1,2,,,,,,,26,
,DASC,1,,,,,,,,,1,
,ECOR,10,,5,,,,,2,,17,
,ENST,15,,3,,,,,,,18,
,ENTO,74,3,24,,,,14,3,1,119,
,FISC,4,1,,,,,,,,5,
,FIVL,23,2,10,3,,,,3,,41,
,FIVS,11,1,6,,,,,,,18,
,FLOR,2,,1,,,,,1,,4,
,FORS,26,1,4,1,,,5,,1,38,
,FSTC,96,7,23,8,,,21,4,,159,
,GENE,84,3,17,7,,,11,3,1,126,
,HORT,157,,30,1,,3,20,,,211,
,MEPS,5,1,1,1,,,9,,2,19,
,NRDV,20,,2,,,,,,,22,
,NUSC,293,9,64,25,1,1,6,7,,406,
,NUTR,26,2,2,3,,,19,,,52,
,PLBR,25,,3,,,,19,,,47,
,PLPA,8,1,7,,,,14,1,2,33,
,POSC,132,8,33,1,,,11,2,,187,
,PPRO,3,,,,,,,,,3,
,PREP,12,1,3,,1,,4,,,21,
,PSSC,5,,,,,,,1,,6,
,RENR,38,1,7,,,2,,,,48,
,RLEM,80,1,18,,,,7,2,,108,
,RPTS,310,12,43,6,,2,26,2,1,402,
,RRDV,1,1,,,,,,,,2,
,SOSC,21,1,1,2,,,5,,,30,
,SPSA,27,,5,1,,,,3,,36,
,TOXI,,,1,,,,,,,1,
,USAL,118,11,15,1,,,1,2,,148,
,WFSC,357,7,106,3,,4,18,6,2,503,
,WISC,11,,2,,,,,,,13,
,WMHS,10,1,,,,,3,1,,15,
,,"4,819",199,848,154,2,35,461,83,17,"6,618",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
