Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,6,193,323,,522,1,111,112,14,14,,,648,
,AGBU,,,5,2,,7,,,,,,,,7,
,BHNR,,2,41,61,,104,,,,,,,,104,
,BUAD,317,602,147,5,,"1,071",,37,37,,,,,"1,108",
,BUAG,1,2,1,,,4,,,,,,,,4,
,EMBA,,,,,,,,62,62,,,,,62,
,FINC,,2,156,269,1,428,,93,93,2,2,,,523,
,INFO,,3,98,178,,279,,,,,,,,279,
,MGMT,,1,71,148,,220,,23,23,10,10,,,253,
,MISY,,,,,,,,38,38,,,,,38,
,MKTG,,1,106,233,,340,,28,28,3,3,,,371,
,MLER,,,,,,,,36,36,,,,,36,
,USBU,,1,44,77,,122,,,,,,,,122,
,Subtotal,318,620,862,"1,296",1,"3,097",1,428,429,29,29,,,"3,555",
Education,BIED,,,,,,,,2,2,,,,,2,
,CPSY,,,,,,,,2,2,10,10,,,12,
,EDAD,,,,,,,4,45,49,93,93,,,142,
,EDCI,,,,,,,33,135,168,92,92,,,260,
,EDHL,28,88,119,16,1,252,,,,,,,,252,
,EDIS,141,189,183,48,2,563,,,,,,,,563,
,EDKI,77,107,147,55,,386,,,,,,,,386,
,EDSM,20,40,48,4,1,113,,,,,,,,113,
,EDTC,,,,,,,,19,19,,,,,19,
,EHRD,,,,,,,2,48,50,34,34,,,84,
,EPSY,,,,,,,1,27,28,34,34,,,62,
,HEED,,,,,,,,13,13,7,7,,,20,
,HLTH,,,26,207,1,234,,,,,,,,234,
,HRDL,4,10,40,32,,86,,,,,,,,86,
,HRDV,,,10,111,,121,,,,,,,,121,
,INST,,17,138,576,,731,,,,,,,,731,
,ISNC,,,,1,,1,,,,,,,,1,
,KINE,,,10,193,1,204,,19,19,28,28,,,251,
,NUTR,,,,,,,,2,2,,,,,2,
,PHED,,,,,,,,1,1,,,,,1,
,SPED,,,,,,,,11,11,,,,,11,
,SPMT,,,48,124,2,174,1,31,32,,,,,206,
,SPSY,,,,,,,,4,4,22,22,,,26,
,TCMG,,,1,30,,31,,,,,,,,31,
,TCML,1,2,20,11,,34,,,,,,,,34,
,TECR,,,,,1,1,,,,,,,,1,
,USEH,,1,1,1,,3,,,,,,,,3,
,Subtotal,271,454,791,"1,409",9,"2,934",41,359,400,320,320,,,"3,654",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
