Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,1,,,1,,,,,,,,1,
,ENST,,2,1,1,,4,,,,,,,,4,
,GEOG,,1,,1,,2,,,,1,1,,,3,
,GEOL,,1,,4,,5,,2,2,,,,,7,
,GEOP,,,,2,,2,,,,,,,,2,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,2,2,1,1,,6,,,,,,,,6,
,OCNG,,,,,,,,1,1,,,,,1,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,2,6,3,9,,20,,3,3,1,1,,,24,
Liberal Arts,AMST,,,,1,,1,,,,,,,,1,
,ANTH,1,1,1,1,,4,,3,3,2,2,,,9,
,CLSS,,,,,,,,,,,,,,,
,COMM,5,9,7,9,,30,,1,1,3,3,,,34,
,ECON,1,1,4,4,,10,,,,,,,,10,
,ENGL,3,5,6,7,,21,,,,2,2,,,23,
,FREN,,,1,,,1,,,,,,,,1,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,1,,6,11,,18,,2,2,2,2,,,22,
,INTS,1,6,5,4,,16,,,,,,,,16,
,MODL,,,,,,,,1,1,,,,,1,
,MUSC,,,,1,,1,,,,,,,,1,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,,3,,3,,,,,,,,3,
,POLS,7,3,13,13,,36,,,,5,5,,,41,
,PSYC,10,10,24,19,,63,,1,1,5,5,,,69,
,RUSS,,,1,,,1,,,,,,,,1,
,SOCI,3,4,14,16,,37,,8,8,15,15,,,60,
,SPAN,,,,,,,,,,,,,,,
,TCMS,2,2,1,3,,8,,,,,,,,8,
,THAR,,,,1,,1,,,,,,,,1,
,USLA,,,1,,,1,,,,,,,,1,
,WGST,,,1,,,1,,,,,,,,1,
,Subtotal,34,41,85,93,,253,,16,16,34,34,,,303,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
