Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,29,21,3,1,,54,,,,,,,,54,
,AERO,,4,10,36,,50,,5,5,4,4,,,59,
,BMEL,19,14,2,,,35,,,,,,,,35,
,BMEN,,3,5,19,,27,,3,3,2,2,,,32,
,CECL,11,9,11,3,,34,,,,,,,,34,
,CECN,,2,4,13,,19,,1,1,1,1,,,21,
,CEEL,14,4,3,,1,22,,,,,,,,22,
,CEEN,,1,2,7,,10,,,,,,,,10,
,CHEL,12,11,1,4,,28,,,,,,,,28,
,CHEN,,12,18,25,,55,,3,3,2,2,,,60,
,CPSC,1,2,7,17,,27,,4,4,2,2,,,33,
,CPSL,13,8,8,4,,33,,,,,,,,33,
,CVEL,32,14,1,2,,49,,,,,,,,49,
,CVEN,,12,27,53,,92,,19,19,1,1,,,112,
,ELEL,28,17,11,3,,59,,,,,,,,59,
,ELEN,,7,17,34,1,59,,10,10,8,8,,,77,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,5,32,,37,,,,,,,,37,
,ENTL,6,8,8,3,1,26,,,,,,,,26,
,HLPH,,,,,,,,3,3,,,,,3,
,IDIL,1,8,7,,,16,,,,,,,,16,
,IDIS,,2,8,40,,50,,4,4,,,,,54,
,INEL,11,9,15,8,1,44,,,,,,,,44,
,INEN,,5,27,63,,95,,8,8,1,1,,,104,
,ITDE,,,,,,,,,,,,,,,
,MEEL,33,18,5,1,,57,,,,,,,,57,
,MEEN,1,11,21,57,1,91,,17,17,10,10,,,118,
,MSEN,,,,,,,,2,2,,,,,2,
,NUEL,13,4,,1,,18,,,,,,,,18,
,NUEN,,3,3,11,1,18,,3,3,2,2,,,23,
,OCEL,2,2,,,,4,,,,,,,,4,
,OCEN,,,4,15,,19,,1,1,,,,,20,
,PETE,,1,3,16,,20,,13,13,4,4,,,37,
,PETL,12,10,11,12,,45,,,,,,,,45,
,RHEL,3,1,2,,,6,,,,,,,,6,
,RHEN,1,,2,4,,7,,,,,,,,7,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,242,223,251,484,6,"1,206",,97,97,38,38,,,"1,341",
G. Bush School of Govt,CAIA,,,,,,,6,,6,,,,,6,
,CHLS,,,,,,,5,,5,,,,,5,
,CNPM,,,,,,,2,,2,,,,,2,
,INTA,,,,,,,,10,10,,,,,10,
,PSAA,,,,,,,,16,16,,,,,16,
,Subtotal,,,,,,,13,26,39,,,,,39,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
